Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University ,School
George Hicks III,CB,San Bernardino,CA,5'11'',180,77,,,65,,,2017,Washington State,,,Washington State ,
Will Rodgers,DE,Highlands Ranch,CO,6'4'',230,77,,,78,,,2017,Washington State,,,Washington State ,
Caleb Perry,RB,Seattle,WA,5'10'',175,76,,,69,,,2017,Washington State,144,11,Washington State ,
Fa'avae Fa'avae,OLB,Santa Ana,CA,6'1'',210,76,,,96,,,2017,Washington State,175,14,Washington State ,
Kelle Sanders,DE,Lacey,WA,6'5'',215,74,,,9,,,2017,Washington State, NR, NR,Washington State ,
Sean Harper,S,Hartwell,GA,6'1'',195,73,,,,,,2017,Washington State, None, None,Washington State ,
Dallas Hobbs,DE,Cedar Falls,IA,6'5'',240,72,,,119,,,2017,Washington State,200,24,Washington State ,
Jonathan Nathaniel,OT,Chandler,AZ,6'5'',250,72,,,124,,,2017,Washington State,646,248,Washington State ,
Zaire Webb,CB,Neptune Beach,FL,5'11'',170,72,,,,,,2017,Washington State,,,Washington State ,
Isaiah Love,CB,West Covina,CA,6'1'',170,71,,,121,,,2017,Washington State,,,Washington State ,
Alec Kuzmack,OT,Eagle,ID,6'4'',285,71,,,206,,,2017,Washington State,224,124,Washington State ,
Damion Lee,WR,Palm Springs,CA,6'2'',175,70,,,119,,,2017,Washington State,,,Washington State ,
Cole Dubots,RB,Murrieta,CA,6'0'',181,70,,,,,,2017,Washington State, None, None,Washington State ,
Christian Mejia,DE,Kailua,HI,6'4'',193,NR,,,,,,2017,Washington State,,,Washington State ,
Travell Harris,WR,Tampa,FL,5'8'',171,NR,,,,,,2017,Washington State, None, None,Washington State ,
Brian Greene,OC,Yakima,WA,6'3'',322,NR,,,NR,,,2017,Washington State,,,Washington State ,
Willie Taylor,OLB,Cochran,GA,6'2'',210,NR,,,,,,2017,Washington State,,,Washington State,
Jamir Thomas,ILB,Massillon,OH,6'1'',215,80,Washington State,,10,,,2019,Washington State,23,8,,
Bryce Beekman,S,Baton Rouge,LA,6'1'',185,79,Washington State,,4,,,2019,Washington State, None,37,,
Derrick Langford,CB,El Cerrito,CA,6'2'',190,77,Washington State,,,,,2019,Washington State,,,,
Gunner Cruz,QB-PP,Queen Creek,AZ,6'5'',215,77,Washington State,,27,,,2019,Washington State,122,17,,
Travion Brown,OLB,Temecula,CA,6'2'',210,77,Washington State,,71,,,2019,Washington State,128,84,,
Daniel Isom,CB,,,5'10'',180,77,Washington State,,8,,,2019,Washington State,,,,
Jouvensly Bazil,RB,Naples,FL,5'10'',175,77,Washington State,,62,,,2019,Washington State,429,141,,
Cosmas Kwete,OLB,Phoenix,AZ,6'3'',215,76,Washington State,,85,,,2019,Washington State,,,,
