Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,School  
Robert Long,QB-DT,Jersey City,NJ,6'0'',200,79,Maryland  ,,12,,,2023,Maryland,,,,,
Dylan Wade,TE-H,Orlando,FL,6'3'',245,78,Maryland  ,,21,,,2023,Maryland,,,,,
Lavon Johnson,DT (POST),Allentown,PA,Cheshire Academy,6'3'',320,78,,,,,2023,Maryland,, None, None,,Maryland  
Jonathan Akins,CB,Madison,FL,5'11'',170,78,Maryland  ,,67,,,2023,Maryland,,316,117,,
D.J. Samuels,DE,Oradell,NJ,6'1'',235,77,Maryland  ,,95,,,2023,Maryland,,84,17,,
Ryan Manning,WR,Baltimore,MD,5'10'',180,77,Maryland  ,,100,,,2023,Maryland,,,,,
Braeden Wisloski,RB,Catawissa,PA,Southern Columbia High School,5'11'',185,77,,52,,,2023,Maryland,,94,20,,Maryland  
Kevis Thomas,CB,Valdosta,GA,Lowndes High School,6'0'',180,77,,352,,,2023,Maryland,,81,82,,Maryland  
Sean Williams,WR,Washington,DC,St. John's College High School,6'0'',175,77,,117,,,2023,Maryland,,,,,Maryland  
Dillan Fontus,DT,Brooklyn,NY,Canarsie High School,6'4'',260,77,,58,,,2023,Maryland,,101,3,,Maryland  
Daniel Wingate,OLB,Laurel,MD,Saint Vincent Pallotti High School,6'3'',215,77,,65,,,2023,Maryland,,105,19,,Maryland  
Nolan Ray,RB,Bloomfield Hills,MI,Brother Rice High School,6'0'',200,77,,60,,,2023,Maryland,,81,14,,Maryland  
Ezekiel Avit,WR,Potomac,MD,Winston Churchill High School,6'2'',180,76,,146,,,2023,Maryland,,131,23,,Maryland  
Tamarcus Cooley,ATH,Rolesville,NC,Rolesville High School,6'0'',195,76,,101,,,2023,Maryland,,461,32,,Maryland  
Josh Richards,WR,East Orange,NJ,East Orange Campus High School,6'3'',175,76,,151,,,2023,Maryland,,133,24,,Maryland  
Tamarus Walker,OG,Owings Mills,MD,McDonogh School,6'3'',320,76,,136,,,2023,Maryland,,,,,Maryland  
Deandre Duffus,OG,Hollywood,FL,Chaminade-Madonna College Preparatory School,6'4'',315,76,,487,,,2023,Maryland,, None,166,,Maryland  
Tayvon Nelson,CB,Brooklyn,NY,Canarsie High School,6'2'',190,76,,115,,,2023,Maryland,,139,7,,Maryland  
A.J. Szymanski,TE-Y,Baltimore,MD,Loyola Blakefield High School,6'4'',245,74,,29,,,2023,Maryland,,163,31,,Maryland  
Alex Moore,ATH,Laurel,MD,Saint Vincent Pallotti High School,6'1'',180,74,,126,,,2023,Maryland,,,,,Maryland  
Ja'Quan Sheppard,CB,Zephyrhills,FL,University of Cincinnati,6'2'',200,TR,,,,,2023,Maryland,, None, None,,Maryland  
Tyrese Chambers,WR,Baltimore,MD,Florida International University,6'1'',195,TR,,,,,2023,Maryland,, None, None,,Maryland  
Avantae Williams,S,DeLand,FL,University of Miami-FL,6'0'',198,TR,,,,,2023,Maryland,, None, None,,Maryland  
Donnell Brown,DE,Upper Marlboro,MD,Saint Francis University,6'3'',240,TR,,,,,2023,Maryland,, None, None,,Maryland  
Jordan Phillips,DT,Knoxville,TN,University of Tennessee,6'2'',295,TR,,,,,2023,Maryland,, None, None,,Maryland  
Kaden Prather,WR,Montgomery Village,MD,West Virginia University,6'4'',211,TR,,,,,2023,Maryland,, None, None,,Maryland  
Corey Bullock,OG,Accokeek,MD,North Carolina Central University,6'4'',315,TR,,,,,2023,Maryland,, None, None,,Maryland  
Marcus Dumervil,OT,Fort Lauderdale,FL,Louisiana State University,6'5'',305,TR,,,,,2023,Maryland,, None, None,,Maryland  
Gottlied Ayedze,OT,Germantown,MD,Frostburg State University,6'5'',300,TR,,,,,2023,Maryland,,,,,Maryland  
Brandon Jacob,S,Orlando,FL,6'2'',175,82,Mary Evans High School,,19,,,2024,Maryland,,104,30,,
DeJuan Williams,RB,Baltimore,MD,5'11'',200,80,St. Frances Academy,,23,,,2024,Maryland,,35,10,,
Kevyn Humes,CB,Baltimore,MD,5'11'',185,80,St. Frances Academy,,37,,,2024,Maryland,,46,16,,
Braydon Lee,CB,Springdale,MD,6'1'',170,79,C. H. Flowers High School,,,,,2024,Maryland,,45,19,,
Ryan Howerton,OT,Laurel,MD,6'4'',295,79,Saint Vincent Pallotti High School,,55,,,2024,Maryland,,,,,
Mekhai White,WR,King George,VA,6'4'',180,78,King George High School,,76,,,2024,Maryland,,,,,
Keyshawn Flowers,ILB,Severn,MD,6'2'',220,78,Archbishop Spalding High School,,31,,,2024,Maryland,,92,24,,
Dimitry Nicolas,DT,Miami,FL,6'3'',295,78,Miami Norland High School,,50,,,2024,Maryland,,,,,
Keyari James,ILB,Clearwater,FL,6'1'',220,77,Clearwater Academy,,37,,,2024,Maryland,,392,122,,
Logan Bennett,OT,Baltimore,MD,6'6'',305,77,St. Frances Academy,,111,,,2024,Maryland,, None,25,,
Lloyd Irvin,CB,Springdale,MD,6'2'',175,77,C. H. Flowers High School,,94,,,2024,Maryland,,119,27,,
Anthony Reddick,OLB,Hampton,VA,6'2'',220,77,Phoebus High School,,,,,2024,Maryland,, None, None,,
Davon Watkins,OT,Annapolis,MD,6'4'',315,76,Saint Mary's High School,,102,,,2024,Maryland,,134,29,,
Josiah McLaurin,ATH,Clinton,NC,5'11'',185,76,Clinton High School,,93,,,2024,Maryland,,473,32,,
Trevor Szymanski,OT,Towson,MD,6'5'',280,76,Loyola Blakefield High School,,106,,,2024,Maryland,,,,,
Lakhi Roland,CB,Ellenwood,GA,6'0'',175,76,Cedar Grove High School,,118,,,2024,Maryland,,527,134,,
Jahmari Powell-Wonson,WR,Baltimore,MD,6'1'',185,76,Baltimore City College High School,,160,,,2024,Maryland,,174,38,,
Judah Jenkins,CB,Olney,MD,5'11'',175,75,Our Lady of Good Counsel High School,,134,,,2024,Maryland,,,,,
Khristian Martin,QB-PP,Highland Springs,VA,6'3'',215,75,Highland Springs High School,,60,,,2024,Maryland,,187,38,,
Michael McMonigle,OT,York,PA,6'5'',290,75,William Penn High School,,135,,,2024,Maryland,,191,39,,
Terez Davis,OG,Hyattsville,MD,6'5'',260,75,DeMatha Catholic High School,,196,,,2024,Maryland,,95,43,,
Anthony Robsock,OT,Harrisburg,PA,6'5'',280,74,Central Dauphin East High School,,155,,,2024,Maryland,,208,41,,
Michael Hershey,OG,Spring Grove,PA,6'4'',265,74,Spring Grove Senior High School,,103,,,2024,Maryland,,210,42,,
Shamar McIntosh,S,Washington,DC,6'1'',185,73,St. John's College High School,,,,,2024,Maryland,, None, None,,
