Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Joshua Jacobs,RB,Tulsa,OK,5'10'',200.0,,79,Alabama,36,79,4,2016,Alabama,,,,
Jamar King,DE,Detroit,MI,6'4'',270.0,,79,Alabama,8, NR, NR,2016,Alabama,,,,
Miller Forristall,TE,Cartersville,GA,6'6'',210.0,,79,Alabama,11,265,53,2016,Alabama,,,,
Shawn Jennings,S,Dadeville,AL,6'1'',215.0,,78,Alabama,44,289,21,2016,Alabama,,,,
T.J. Simmons,WR,Pinson,AL,6'2'',189.0,,78,Alabama,110,,,2016,Alabama,,,,
Dylan Moses,ATH,Bradenton,FL,6'2'',235.0,5,92,Alabama,5,,,2017,Alabama,2,1,,
Alex Leatherwood,OT,Pensacola,FL,6'6'',327.0,5,90,Alabama,3,,,2017,Alabama,4,3,,
Najee Harris,RB,Antioch,CA,6'3'',226.0,5,90,Alabama,11th,,,2017,Alabama,2,2,,
LaBryan Ray,DT,Madison,AL,6'5'',270.0,5,89,Alabama,2,,,2017,Alabama,10,1,,
Jerry Jeudy,WR,Deerfield Beach,FL,6'1'',180.0,5,88,Alabama,3,,,2017,Alabama,,,,
Jedrick Wills,OG,Lexington,KY,6'5'',318.0,5,86,Alabama,2,,,2017,Alabama,17,1,,
Phidarian Mathis,DT,Monroe,LA,6'4'',287.0,5,86,Alabama,4,,,2017,Alabama,,,,
Markail Benton,OLB,Phenix City,AL,6'2'',237.0,5,85,Alabama,3,,,2017,Alabama,24,2,,
Tua Tagovailoa,QB-DT,Honolulu,HI,6'1'',215.0,5,85,Alabama,1,,,2017,Alabama,12,1,,
Daniel Wright,S,Fort Lauderdale,FL,6'0'',168.0,5,85,Alabama,5,,,2017,Alabama,28,14,,
Elliot Baker,OT,San Francisco,CA,6'7'',295.0,5,84,Alabama,1.0,,,2017,Alabama,,,,
Xavier McKinney,S,Roswell,GA,6'1'',196.0,4,84,Alabama,9,,,2017,Alabama,,,,
Isaiah Buggs,DE,Ruston,LA,6'4'',280.0,4,83,Alabama,5th,,,2017,Alabama,,,,
Jarez Parks,DE,Sebastian River,FL,6'4'',245.0,4,83,Alabama,11,,,2017,Alabama,,,,
Tyrell Shavers,WR,Lewisville,TX,6'6'',202.0,4,83,Alabama,19,,,2017,Alabama,24,22,,
Chris Allen,OLB,Baton Rouge,LA,6'5'',234.0,4,82,Alabama,9,,,2017,Alabama,75,6,,
Henry Ruggs III,WR,Montgomery,AL,6'0'',175.0,4,82,Alabama,23,,,2017,Alabama,,,,
Brian Robinson,RB,Tuscaloosa,AL,6'2'',216.0,4,82,Alabama,18,,,2017,Alabama,92,8,,
Chadarius Townsend,ATH,Tanner,AL,6'0'',180.0,4,82,Alabama,13,,,2017,Alabama,93,9,,
Kendall Randolph,OT,Madison,AL,6'5'',285.0,4,82,Alabama,23,,,2017,Alabama,,,,
Vandarius Cowan,OLB,Palm Beach Gardens,FL,6'4'',226.0,4,81,Alabama,13,,,2017,Alabama,100,32,,
Devonta Smith,WR,Amite,LA,6'0'',157.0,4,81,Alabama,34,,,2017,Alabama,,,,
Major Tennison,TE-Y,Bullard,TX,6'5'',245.0,4,81,Alabama,8,,,2017,Alabama,47,41,,
Kedrick James,TE-Y,Waco,TX,6'5'',245.0,4,80,Alabama,9,,,2017,Alabama,,,,
Mac Jones,QB-PP,Jacksonville,FL,6'3'',180.0,4,80,Alabama,17,,,2017,Alabama,,,,
Kyriq McDonald,CB,Madison,AL,5'10'',194.0,4,77,Alabama,37,,,2017,Alabama,,,,
Hunter Brannon,OG,Cullman,AL,6'4'',290.0,4,77,Alabama,59,,,2017,Alabama,403,39,,
Joseph Bulovas,K,Mandeville,LA,5'11'',205.0,4,76,Alabama,7,,,2017,Alabama,,,,
Thomas Fletcher,LS,Bradenton,FL,6'1'',220.0,4,69,Alabama,3,,,2017,Alabama,,,,
Evan Neal,OT,Bradenton,FL,6'8'',365.0,5,91,,4,2,2,2019,Alabama,,,Alabama ,
Pierce Quick,OT,Trussville,AL,6'5'',284.0,4,91,,7th, 4th, 1st,2019,Alabama,,,Alabama ,
Trey Sanders,RB,Bradenton,FL,6'0'',216.0,5,88,,16,,,2019,Alabama,,,Alabama ,
Amari Kight,OT,Alabaster,AL,6'7'',307.0,4,86,,8,,,2019,Alabama,,,Alabama ,
Tommy Brockermeyer,OT,Fort Worth,TX,6'6'',280.0,,91,Alabama,1,1,1,2021,Alabama,,,,
J.C. Latham,OT,Bradenton,FL,6'6'',310.0,,90,Alabama,2,1,1,2021,Alabama,,,,
Dallas Turner,OLB,Fort Lauderdale,FL,6'4'',230.0,,90,Alabama,3,6,4,2021,Alabama,,,,
Damon Payne,DT,Belleville,MI,6'4'',295.0,,88,Alabama,26th, 2nd, 1st,2021,Alabama,,,,
Agiye Hall,WR,Valrico,FL,6'3'',190.0,,87,Alabama,3,15,8,2021,Alabama,,,,
Ga'Quincy McKinstry,ATH,Pinson,AL,6'0'',175.0,,87,Alabama,3,,,2021,Alabama,,,,
