Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank
OLB,Philadelphia,PA,6'3'',185.0,76.0,,Neumann-Goretti High School,,,,,2022,West Virginia,,,
WR,Pearland,TX,5'11'',190.0,76.0,,Navarro College,,,,,2022,West Virginia,,,
WR,Miami,FL,6'2'',210.0,76.0,,Gulliver Prep High School,,,,,2022,West Virginia,,,
S,Collins,MS,6'1'',200.0,75.0,,Jones County Junior College,,,,,2022,West Virginia,,,
K,Melbourne,AUS,6'2'',220.0,75.0,,ProKick Australia,,,,,2022,West Virginia,,,
WR,Blythewood,SC,6'1'',200.0,75.0,,Hutchinson Community College,,,,,2022,West Virginia,,,
TE-Y,Hillsborough,NJ,6'5'',230.0,74.0,,Blair Academy,,,,,2022,West Virginia,,,
OG,Wallingford,CT,6'5'',280.0,70.0,,Choate Rosemary Hall,,,,,2022,West Virginia,,,
,,,,,,,,,13,60,19,2022,West Virginia,,,
,,,,,,,,,,,,2022,West Virginia,,,
,,,,,,,,,26,117,36,2022,West Virginia,,,
,,,,,,,,,1,,,2022,West Virginia,,,
Josiah Trotter,ILB,Philadelphia,PA,6'2'',225.0,80.0,West Virginia,,17,37,7,2023,West Virginia,,,
Rodney Gallagher,ATH,Uniontown,PA,6'0'',160.0,80.0,West Virginia,,32,39,9,2023,West Virginia,,,
Traylon Ray,WR,Tallahassee,FL,6'3'',180.0,80.0,West Virginia,,50,189,81,2023,West Virginia,,,
Johnny Williams IV,OT,Macon,GA,6'6'',300.0,79.0,West Virginia,,35,,,2023,West Virginia,,,
