Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Location,HT,WT
Rashad Smith,S,Homestead,FL,6'1'',180,73.0,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Will Davis,DT,Fort Pierce,FL,6'0'',250,70.0,Florida Atlantic,,111,,,2016,Florida Atlantic,,,,,,
Korel Smith,CB,Miramar,FL,5'9'',164,69.0,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
John Mitchell,ATH,Tallahassee,FL,6'3'',180,69.0,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
James Charles,RB,Fort Lauderdale,FL,5'10'',189,67.0,Florida Atlantic,,135,,,2016,Florida Atlantic,,,,,,
Ean Biancardi,,Lake Wales,FL,6'5'',293,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Brandon Walton,,Sanford,FL,6'5'',267,,Florida Atlantic,,6,,,2016,Florida Atlantic,, NR, NR,,,
Cory Cotnoir,ILB,Plant City,FL,5'11'',220,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Kyle McGriff,WR,Gainesville,FL,5'10'',200,,Florida Atlantic,,NR,,,2016,Florida Atlantic,,NR,NR,,,
Bradley Clement,ILB,Plantation,FL,5'10'',227,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
DaVon Brown,CB,Royal Palm Beach,FL,5'11'',179,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Cameron Syblis,OLB,Brooksville,FL,6'0'',195,,Florida Atlantic,,6,,,2016,Florida Atlantic,,,,,,
Chanler Ferguson,ILB,Jacksonville,FL,5'10'',222,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
David Belvin,DE,Palmetto,FL,6'1'',211,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
John Raine,TE,Miami,FL,6'1'',231,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Chris Tooley,CB,Orlando,FL,5'10'',168,,Florida Atlantic,,NR,,,2016,Florida Atlantic,,NR,NR,,,
Antonio Hadden,WR,Fort Pierce,FL,6'1'',200,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Leighton McCarthy,DE,Apopka,FL,6'2'',215,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Jared Nourse,OT,Jacksonville,FL,6'2'',250,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Harrison Bryant,TE,Milledgeville,GA,6'4'',225,,Florida Atlantic,,,,,2016,Florida Atlantic,,,,,,
Ahman Ross,S,Jacksonville,FL,5'11'',198,5,79,Florida Atlantic,30,219,76,2017,Florida Atlantic,,,,,,
De'Andre Johnson,QB-DT (JC),Jacksonville,FL,6'1'',195,5,79,Florida Atlantic,, None, None,2017,Florida Atlantic,,,,,,
Joey Palmer,OT (JC),Oklahoma City,OK,6'5'',305,5,79,Florida Atlantic,,,,2017,Florida Atlantic,,,,,,
Tyreke Tisdale,RB (POST),Orlando,FL,6'1'',199,4,78,Florida Atlantic,14.0, None, None,2017,Florida Atlantic,,,,,,
Tim Bonner,DE (JC),Demopolis,AL,6'5'',230,4,78,Florida Atlantic,4,,,2017,Florida Atlantic,,,,,,
Chase Lasater,FB,Jacksonville,FL,6'1'',233,3,75,Florida Atlantic,175,491,185,2017,Florida Atlantic,,,,,,
Jordan Merrell,WR,Fort Lauderdale,FL,5'10'',183,3,74,Florida Atlantic,92,552,208,2017,Florida Atlantic,,,,,,
B.J. Etienne,OG,Lake Worth,FL,6'3'',285,3,73,Florida Atlantic,106,574,221,2017,Florida Atlantic,,,,,,
Quran Hafiz,CB,Jacksonville,FL,6'0'',168,3,73,Florida Atlantic,201,640,244,2017,Florida Atlantic,,,,,,
Willie Wright,WR,Jacksonville,FL,5'7'',160,3,72,Florida Atlantic,, None, None,2017,Florida Atlantic,,,,,,
Diashun Moss,CB,Fort Lauderdale,FL,5'10'',172,3,71,Florida Atlantic,114,,,2017,Florida Atlantic,,,,,,
Isaac Readon,OLB,Miami,FL,5'11'',196,3,70,Florida Atlantic,117,,,2017,Florida Atlantic,,,,,,
Chase Hooper,DT,Milton,GA,6'2'',260,2,69,Florida Atlantic,146,752,288,2017,Florida Atlantic,,,,,,
Austin Camden,DE,Longwood,FL,6'3'',245,2,68,Florida Atlantic,,,,2017,Florida Atlantic,,,,,,
Denzel Houston,QB-DT,Daytona Beach,FL,5'11'',185,2,68,Florida Atlantic,, None, None,2017,Florida Atlantic,,,,,,
