Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Melle Kreuder,DE,Germany,EUR,6'3'',235,73,Minnesota,,170,,,2020,Minnesota,,,
Cody Lindberg,OLB,Anoka,MN,6'2'',205,73,Minnesota,,140,,,2020,Minnesota,181,12,
Greg Johnson,OT,Prior Lake,MN,6'4'',280,NR,Minnesota,,,,,2020,Minnesota,,,
Koi Perich,SE,Esko,MN,6'0'',190,82,Minnesota,,14,,,2024,Minnesota,21,1,
Nathan Roy,OT,Mukwonago,WI,6'6'',275,82,Minnesota,,21,,,2024,Minnesota,,,
Ohifame Ijeboi,RB,Philadelphia,PA,5'11'',190,78,Minnesota,,60,,,2024,Minnesota,,,
Jacob Simpson,TE,Johnston,IA,Johnston High School,215,77,Minnesota,,34,,,2024,Minnesota,88,9,
Jalen Smith,WR,Mankato,MN,6'0'',180,77,Minnesota,,,,,2024,Minnesota,,,
Brett Carroll,OC,Olathe,KS,Olathe East High School,285,77,Minnesota,,9,,,2024,Minnesota,,,
Samuel Madu,CB,White Plains,NY,Archbishop Stepinac High School,170,77,Minnesota,,85,,,2024,Minnesota,,,
Riley Sunram,DT,Kindred,ND,Kindred High School,260,77,Minnesota,,58,,,2024,Minnesota,202,1,
Zahir Rainer,S,Richmond,VA,Trinity Episcopal School,190,77,Minnesota,,120,,,2024,Minnesota,,,
Mike Gerald,ATH,Katy,TX,Morton Ranch High School,170,77,Minnesota,,88,,,2024,Minnesota,,,
Julian Johnson,TE-H,Aurora,IL,Waubonsie Valley High School,210,77,Minnesota,,38,,,2024,Minnesota,,,
Mo Saine,DT,Eden Prairie,MN,Eden Prairie High,270,76,Minnesota,,125,,,2024,Minnesota,,,
Jaylin Hicks,DT,New Rochelle,NY,Iona College Prep,250,76,Minnesota,,10,,,2024,Minnesota,139,10,
Mason Carrier,OLB,Detroit Lakes,MN,Detroit Lakes High School,205,76,Minnesota,,85,,,2024,Minnesota,,,
Drake Lindsey,QB-PP,Fayetteville,AR,Fayetteville High School,225,76,Minnesota,,48,,,2024,Minnesota,511,13,
Simon Seidl,ATH,Saint Paul,MN,Hill-Murray School,175,76,Minnesota,,104,,,2024,Minnesota,,,
Jaydon Wright,RB,Kankakee,IL,Bishop McNamara High School,220,75,Minnesota,,99,,,2024,Minnesota,,,
Dallas Sims,WR,Clearwater,FL,Clearwater Academy,195,75,Minnesota,,164,,,2024,Minnesota,587,189,
Sam Macy,OLB,Champlin,MN,Chanhassen High School,225,74,Minnesota,,,,,2024,Minnesota,,,
Alan Soukup,LS,Phoenix,AZ,Pinnacle High School,200,69,Minnesota,,1,,,2024,Minnesota,304,47,
Max Brosmer,QB-PP,TR,Roswell,GA,University of New Hampshire,221,Minnesota,,,,,2024,Minnesota,,,
Ethan Robinson,CB,TR,Montgomery,NY,Bucknell University,175,Minnesota,,,,,2024,Minnesota,,,
Jaionte McMillan,CB,TR,Conyers,GA,Texas Christian University,190,Minnesota,,,,,2024,Minnesota,,,
Sieh Bangura,RB,TR,Bowie,MD,Ohio University,209,Minnesota,,,,,2024,Minnesota,,,
Logan Fife,QB-PP,TR,Tracy,CA,California State University, Fresno,205,Minnesota,,,,2024,Minnesota,,,
Marcus Major,RB,TR,Oklahoma City,OK,University of Oklahoma,219,Minnesota,,,,,2024,Minnesota,,,
Cristian Driver,WR,TR,Flower Mound,TX,Pennsylvania State University,188,Minnesota,,,,,2024,Minnesota,,,
Jaylen Varner,WR,TR,Marshall,MO,Emporia State University,179,Minnesota,,,,,2024,Minnesota,,,
Jaxon Howard,DE,TR,New Hope,MN,Louisiana State University,241,Minnesota,,,,,2024,Minnesota,,,
Adam Kissayi,DE,TR,Palm Bay,FL,Clemson University,230,Minnesota,,,,,2024,Minnesota,,,
Tyler Williams,WR,TR,Lakeland,FL,University of Georgia,205,Minnesota,,,,,2024,Minnesota,,,
Dylan Wittke,QB-DT,TR,Buford,GA,Virginia Tech,201,Minnesota,,,,,2024,Minnesota,,,
