Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Jarrell Owens,RB,Palestine,TX,6'3'',235.0,,75,Oklahoma State,87,,,2014,Oklahoma State,218,166,
Matthew Mucha,OT,Houston,TX,6'6'',250.0,,75,Oklahoma State,147,,,2014,Oklahoma State,,,
Deionte' Noel,OG,Cibolo,TX,6'3'',300.0,,75,Oklahoma State,6,,,2014,Oklahoma State,,,
James Washington,WR,Stamford,TX,5'11'',178.0,,75,Oklahoma State,42,,,2014,Oklahoma State,,,
Devante Averette,ILB (JC),Melvindale,MI,6'0'',230.0,,75,Oklahoma State,31,,,2014,Oklahoma State,,,
Joyan Williams,DT,New Orleans,LA,6'2'',255.0,,75,Oklahoma State,167,,,2014,Oklahoma State,,,
Zach Sinor,K,Castroville,TX,6'0'',190.0,,75,Oklahoma State,66,,,2014,Oklahoma State,,,
Chris Lacy,WR,DeSoto,TX,6'3'',191.0,,74,Oklahoma State,,,,2014,Oklahoma State,,,
Lem Galeai,OG,Euless,TX,6'5'',320.0,,74,Oklahoma State,47,,,2014,Oklahoma State,355,28,
Justin Phillips,ILB,Pearland,TX,5'11'',210.0,,73,Oklahoma State,,,,2014,Oklahoma State,,,
Jordan Frazier,TE-YS,Springfield,MO,6'5'',230.0,,71,Oklahoma State,,,,2014,Oklahoma State,,,
John Kolar,QB-PP,Norman,OK,6'4'',185,4.0,3,Oklahoma State,3,13,1,2015,Oklahoma State,,,
Chris Carson,RB (JC),Lilburn,GA,6'2'',210,3.0,82,Oklahoma State,12th, NR, NR,2015,Oklahoma State,,,
Louis Brown,ATH,Burton,TX,6'5'',210,23.0,81,Oklahoma State,23,,,2015,Oklahoma State,,,
Kevin Henry,S,Baton Rouge,LA,6'1'',217,21.0,81,Oklahoma State,21,,,2015,Oklahoma State,,,
Darrion Daniels,DT,Dallas,TX,6'4'',290,27.0,80,Oklahoma State,27,61,50,2015,Oklahoma State,,,
Johnny Wilson,OT,Midland,TX,6'4'',295,34.0,80,Oklahoma State,34,68,57,2015,Oklahoma State,,,
Vaimoe Sekona,OG,Encino,CA,6'5'',284,37.0,79,Oklahoma State,37,73,47,2015,Oklahoma State,,,
Motekiai Maile,DT (JC),Pittsburg,CA,6'4'',300,8.0,79,Oklahoma State,8,,,2015,Oklahoma State,,,
Kenneth McGruder,S,Houston,TX,6'2'',203,38.0,79,Oklahoma State,,38,83,2015,Oklahoma State,,,
Za'Carrius Green,S,Duncanville,TX,6'0'',194,41.0,78,Oklahoma State,9, None, None,2015,Oklahoma State,,,
Deya Mhiesen,OT (JC),Philadelphia,PA,6'7'',305,9.0,78,Oklahoma State,7, None,,2015,Oklahoma State,,,
Todd Mays,RB (JC),Olive Branch,MS,6'0'',195,7.0,77,Oklahoma State,11,,,2015,Oklahoma State,,,
Antwan Hadley,CB (JC),Lake Wales,FL,6'4'',210,11.0,77,Oklahoma State,57,,,2015,Oklahoma State,,,
Taaj Bakari,DT,Mansfield,TX,6'2'',275,57.0,77,Oklahoma State,10,,,2015,Oklahoma State,,,
Jordan Burton,S (JC),Longview,TX,6'2'',210,10.0,76,Oklahoma State,145,480,52,2015,Oklahoma State,,,
Jalen McCleskey,WR,Covington,LA,5'10'',156,145.0,76,Oklahoma State,16, None, None,2015,Oklahoma State,,,
Matt Kellerman,OT (JC),Centerville,KS,6'5'',290,16.0,76,Oklahoma State,137,678,68,2015,Oklahoma State,,,
Marcus Keyes,DE,Port Allen,LA,6'5'',265,137.0,73,Oklahoma State,132,306,243,2015,Oklahoma State,,,
Bryce Balous,S,McKinney,TX,5'11'',180,132.0,72,Oklahoma State,20, None, None,2015,Oklahoma State,,,
Brandon Pertile,OT (JC),Clearwater,FL,6'5'',295,20.0,71,Oklahoma State,, None, None,2015,Oklahoma State,,,
Jeff Carr,RB,Temple,TX,5'9'',170,,Oklahoma State,,,,,2015,Oklahoma State,,,
Victor Salako,OT (TR),Huntsville,AL,6'6'',315,,Oklahoma State,,, None, None,2015,Oklahoma State,,,
Michael Hunter,CB (TR),West Monroe,LA,6'1'',195,,Oklahoma State,,,,,2015,Oklahoma State,,,
Tylan Wallace,WR,Fort Worth,TX,6'0'',182,,84,Oklahoma State,74,,,2017,Oklahoma State,17,16,
Chuba Hubbard,RB,Alberta,CAN,6'1'',190,,80,Oklahoma State,31,,,2017,Oklahoma State,,,
Shamond Greenwood,WR,Garland,TX,6'3'',195,,80,Oklahoma State,63,,,2017,Oklahoma State,,,
Lamarcus Morton,WR,Gilmer,TX,6'0'',175,,80,Oklahoma State,64,,,2017,Oklahoma State,,,
Tracin Wallace,ATH,Fort Worth,TX,6'0'',170,,79,Oklahoma State,40,,,2017,Oklahoma State,93,76,
Arlington Hambright,OT,Belleville,MI,6'5'',300,,78,Oklahoma State,12,,,2017,Oklahoma State,,,
Jelani Woods,QB-PP,Ellenwood,GA,6'7'',230,,78,Oklahoma State,25,,,2017,Oklahoma State,,,
Kris McCune,CB,Mesquite,TX,6'1'',195,,78,Oklahoma State,53,,,2017,Oklahoma State,,,
Brock Martin,DE,Oologah,OK,6'3'',220,,77,Oklahoma State,125,,,2017,Oklahoma State,,,
Thabo Mwaniki,ATH,Denton,TX,5'10'',174,,77,Oklahoma State,66,,,2017,Oklahoma State,138,111,
Brendan Vaughn,OLB,Forney,TX,6'1'',207,,77,Oklahoma State,48,,,2017,Oklahoma State,143,116,
Brendon Evers,DT,Bixby,OK,6'2'',285,,77,Oklahoma State,65,,,2017,Oklahoma State,150,13,
Fua Leilua,DT,Spanish Fork,UT,6'2'',300,,76,Oklahoma State,18,,,2017,Oklahoma State,,,
Tre Sterling,SS,Sunnyvale,TX,6'0'',184,,75,Oklahoma State,,,,2017,Oklahoma State,,,
J.D. King,RB,Fitzgerald,GA,5'11'',205,,74,Oklahoma State,,,,2017,Oklahoma State,,,
Patrick Macon,ILB,Millington,TN,6'1'',230,,74,Oklahoma State,3,,,2017,Oklahoma State,,,
Jake McClure,K,Ooltewah,TN,6'3'',193,,74,Oklahoma State,40,,,2017,Oklahoma State,,,
Malcolm Rodriguez,S,Wagoner,OK,5'11'',180,,72,Oklahoma State,,,,2017,Oklahoma State,,,
Sione Finefeuiaki,TE-H,Santa Clara,CA,6'0'',245,,72,Oklahoma State,4,,,2017,Oklahoma State,,,
