Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School,University 
Randy Cochran,CB,Norcross,GA,6'0'',175.0,Akron,,,,,2019,Akron,, None, None,,
Bryce Wilson,DE,Lilburn,GA,6'3'',275.0,Akron,,,,,2019,Akron,, None, None,,
Jordan Daniels,OT,Huntersville,NC,6'5'',275.0,Akron,,,,,2019,Akron,, None, None,,
Kyshad Mack,S,Massillon,OH,6'0'',200.0,Akron,,,,,2019,Akron,, None, None,,
Julian Richardson,OLB,Albany,GA,6'1'',210.0,Akron,,,,,2019,Akron,,,,,
Michael Scott,OLB,Tallahassee,FL,6'3'',230.0,Akron,,,,,2019,Akron,, NR, NR,,
Demetrick Watts,OLB,Riverside,CA,,,,Akron,,,,2019,Akron,, None, None,,
L. McCall IV,OLB,Live Oak,FL,6'3'',240,72,Akron,164,,,2021,Akron,,782,260,,
Logan Seibert,K,Belleville,IL,5'10'',170,72,Akron,39,,,2021,Akron,,239,46,,
Rey'noi Summersett,OLB,Charlotte,NC,6'4'',230,72,Akron,145,,,2021,Akron,,230,46,,
Noel Roach,S,Pittsburgh,PA,6'0'',180,72,Akron,286,,,2021,Akron,,877,92,,
Jasaiah Gathings,WR,Statesville,NC,6'3'',190,71,Akron,172,,,2021,Akron,,886,292,,
Oran Singleton Jr.,ATH,Clewiston,FL,5'11'',185,71,Akron,902,,,2021,Akron,,46,197,,
D.J. Irons,QB-DT,Loganville,GA,6'6'',215,71,Akron,202,,,2021,Akron,,,,,
Rishad Hence,CB,Detroit,MI,5'9'',165,70,Akron,141,,,2021,Akron,,,,,
Andre Proffitt,DT,Trenton,OH,6'3'',281,69,Akron,191,,,2021,Akron,,287,53,,
Myles Walker,ATH,Monaca,PA,5'9'',170,69,Akron,149,,,2021,Akron,,288,54,,
Colin Lyons,OG,McKeesport,PA,6'3'',275,69,Akron,245,,,2021,Akron,,327,103,,
Bennett Adler,DE,Lakewood,OH,6'2'',260,69,Akron,175,,,2021,Akron,,,,,
Darrian Lewis,S,Akron,OH,5'11'',180,69,Akron,198,,,2021,Akron,,963,21,,
Gavin Malott,OT,Louisville,KY,6'8'',320,69,Akron,315,,,2021,Akron,,965,214,,
Konata Mumpfield,WR,Hoschton,GA,6'1'',180,69,Akron,146,,,2021,Akron,,335,106,,
Alex Reese,DT,Euclid,OH,6'4'',275,69,Akron,87,,,2021,Akron,,,,,
Luke Bauer,ILB,Akron,OH,6'0'',235,68,Akron,,,,2021,Akron,,,,,
Daylen Morgan,ILB,Trotwood,OH,6'1'',210,68,Akron,NR,,,2021,Akron,, NR, NR,,
Ryan Jankowski,QB-PP,Vero Beach,FL,6'5'',180,,Akron,,,,2021,Akron,,,,,
Jalen Ross,WR,Canton,OH,6'3'',205,,Akron,,,,2021,Akron,,,,,
Jeslord Boateng,OLB,Dublin,OH,6'2'',210,TRA,Akron,,,,2021,Akron,, None, None,,
Anthony Williams,RB,Chicago,IL,6'1'',210,TRA,Akron,,,,2021,Akron,,,,,
Keylen Davis,OG,Indianapolis,IN,6'2'',300,Akron,,55,120,17,2022,Akron,75,,,,
Bobby Golden,WR,Miami,FL,5'9'',185,Akron,,168,,,2022,Akron,75,,,,
Ka'Marii Landers,OT,Dearborn,MI,6'4'',300,Akron,,39,,,2022,Akron,74,,,,
Dijon Jennings,QB-DT,Reynoldsburg,OH,5'11'',190,Akron,,16,699,163,2022,Akron,74,,,,
Tyhler Williams,OC,Milton,GA,6'3'',305,Akron,,108,,,2022,Akron,73,,,,
Charles Kellom,RB,Cincinnati,OH,5'11'',200,Akron,,65,,,2022,Akron,73,,,,
Bryan McCoy,ILB,Joliet,IL,6'0'',220,Akron,,NR,,,2022,Akron,71,,,,
Marquell Darnell,,,Erie,PA,6'7'',,,,,,2022,Akron,210,,,Akron,
Charlie Kreinbucher,,,Butler,PA,6'4'',,,NR,,,2022,Akron,230,,,Akron,
Rashan Murray,ATH,Pittsburgh,PA,University Prep,6'1'',,,NR, NR, NR,2022,Akron,170,,,Akron,
Van Shyjka,OG,Stow,OH,Stow-Munroe Falls High School,6'3'',,,NR,NR,NR,2022,Akron,285,,,Akron,
Will Dixon,TE-Y,Hillsborough,NJ,Hillsborough High School,6'4'',,,,,,2022,Akron,220,,,Akron,
Jourden Hale-Frater,OT,Cincinnati,OH,Sycamore High School,6'4'',,,NR,,,2022,Akron,325,,,Akron,
Kiawan Murphy,DT,East Hartford,CT,East Hartford High School,6'3'',,,,,,2022,Akron,330,,,Akron,
Kerry Martin,S,Charleston,WV,West Virginia University,6'1'',,,,,,2022,Akron,200,,,Akron,
Cameron Wiley,RB,Las Vegas, NV,University of Minnesota,6'2'',,,,,,2022,Akron,205,,,Akron,
Alex Adams,WR,Magnolia,MS,Louisiana State University,6'1'',,,,,,2022,Akron,185,,,Akron,
Max Banes,OT,Houston,TX,University of Houston,6'5'',,,,,,2022,Akron,310,,,Akron,
Shocky Jacques-Louis,WR,Fort Myers,FL,University of Pittsburgh,6'1'',,,,,,2022,Akron,190,,,Akron,
