Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,University, Reg_rank, State_rank,University ,Stars
Kekaniokoa Gonzalez,OG,Santa Ana,CA,6'1'',286,Boise State,,,,,2018,Boise State,,,,,,,,,,,,,NR
Cole Ramseyer,TE,Y,Coeur D'Alene,ID,6'4'',NR,Boise State,,,,2018,Boise State,,,,,,,,,,,,,225
Keeghan Freeborn,OG,Meridian,ID,6'1'',297,Boise State,,,,,2018,Boise State,,,,,,,,,, None, None,,NR
Stefan Cobbs,WR,Keller,TX,6'0'',175,Boise State,,NR,,,2018,Boise State,,,,,,,,,, NR, NR,,NR
Dallas Holliday,DT,Westlake Village,CA,6'3'',300,Boise State,,,,,2018,Boise State,,,,,,,,,,,,,NR
James Wilborn Jr.,OLB,Avon,CT,6'3'',230,Boise State,,42,,,2021,Boise State,,,,,,,,,,57,2,,79.0
Jai Jones,ILB,Dallas,TX,5'11'',230,Boise State,,16,,,2021,Boise State,,,,,,,,,,123,95,,78.0
Rejhan Tatum,OLB,Warr Acres,OK,6'1'',225,Boise State,,72,,,2021,Boise State,,,,,,,,,,,,,77.0
Mason Randolph,OG,Yorba Linda,CA,6'3'',290,Boise State,,48,,,2021,Boise State,,,,,,,,,,116,69,,76.0
Zion Washington,OLB,Frisco,TX,6'2'',205,Boise State,,192,,,2021,Boise State,,,,,,,,,,,,,76.0
Kaden Dudley,ATH,Monument,CO,6'0'',185,Boise State,,93,,,2021,Boise State,,,,,,,,,,241,8,,75.0
Marco Notarainni,ILB,Del Mar,CA,6'3'',200,Boise State,,39,,,2021,Boise State,,,,,,,,,,,,,75.0
Eric McAlister,WR,Azle,TX,6'3'',180,Boise State,,166,,,2021,Boise State,,,,,,,,,,248,188,,75.0
