Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University,School
Keith Brown,ILB,Miami,FL,6'1'',235,TR,Western Kentucky,,NR,,,2016,Western Kentucky,,,,
Chris Johnson,DT,Perkinston,MS,6'2'',290,NR,Western Kentucky,,,,,2016,Western Kentucky,,,,
Arthur Brathwaite,S,Miami,FL,6'0'',190,77.0,,,42,,,2018,Western Kentucky,377,140,,
Garland Lafrance,RB,New Orleans,LA,5'10'',169,75.0,,,53,,,2018,Western Kentucky,482,43,,
Avonta Crim,S,Ocala,FL,6'0'',194,75.0,,,,,,2018,Western Kentucky,,,,
Anthony Spurlock,WR,New Orleans,LA,6'0'',165,73.0,,,207,,,2018,Western Kentucky,,,,
Troy Ingle,OG,Plantation,FL,6'4'',280,69.0,,,109,,,2018,Western Kentucky,697,281,,
Russell Brown,WR,Lehigh Acres,FL,6'2'',189,,,,,,,2018,Western Kentucky,,,,
Kevaris Thomas,QB,Lakeland,FL,6'2'',243,,,,,,,2018,Western Kentucky, None, None,,
Spencer Gaddis,WR,Milton,GA,6'0'',168,,,,,,,2018,Western Kentucky,,,,
Lichon Terrell,DE,Hogansville,GA,6'1'',240,,,,,,,2018,Western Kentucky, None, None,,
Malik Occiur,S,Fort Lauderdale,FL,6'0'',189,,,,,,,2018,Western Kentucky,,,,
Terez Traynor,ATH,Louisville,KY,6'3'',177,,,,NR,,,2018,Western Kentucky, NR, NR,,
Gino Appleberry,RB,Fairburn,GA,5'8'',185,,,,NR,,,2018,Western Kentucky, NR, NR,,
Lee Graham,WR,Glen Saint Mary,FL,5'11'',171,,,,,,,2018,Western Kentucky,,,,
Nazir Sy,DT,Norcross,GA,6'2'',326,,,,,,,2018,Western Kentucky, None, None,,
Deporess Schletty,DT,Alpharetta,GA,6'2'',253,,,,,,,2018,Western Kentucky,,,,
Devin Bell,DE,Goshen,AL,6'4'',230,,,,NR,,,2018,Western Kentucky, NR, NR,,
Que Reid,RB,Concord,NC,5'10'',182,,,,,,,2018,Western Kentucky, None, None,,
Roderic Forts,DE,Ellenwood,GA,6'3'',205,,,,NR,,,2018,Western Kentucky,,,,
Mario Wright,ILB,Flossmoor,IL,6'0'',211,,,,NR,,,2018,Western Kentucky, NR, NR,,
Trey Urquhart,ATH,Kennesaw,GA,6'0'',201,,,,,,,2018,Western Kentucky, None, None,,
Gunner Britton,OT,Conway,SC,6'6'',283,,,,NR,,,2018,Western Kentucky, NR, NR,,
Tre Leslie,ILB,Tucker,GA,6'0'',210,,,,,,,2018,Western Kentucky,,,,
Jayden Patterson,CB,Lawrenceville,GA,5'11'',185,,,,,,,2018,Western Kentucky, None, None,,
Shannon Bishop Jr,CB,Louisville,KY,5'10'',170,,,,,,,2018,Western Kentucky,,,,
Kawan Williams,WR,Savannah,GA,5'11'',175,,,,,,,2018,Western Kentucky, None, None,,
