Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,University 
Wyatt Harris,OLB,Aledo,TX,6'2'',215,79,,,43,,,2019,Texas Christian,,95,69,
Tamauzia Brown,CB,Newton,TX,6'0'',170,78,TCU,,44,,,2019,Texas Christian,,,,
Tre'vius Hodges,S,Waco,TX,5'9'',171,78,,,59,,,2019,Texas Christian,,,,
Brannon Brown,OT,Helotes,TX,6'5'',303,78,,,49,,,2019,Texas Christian,,114,80,
Deshawn McCuin,CB,Jacksonville,TX,5'11'',180,78,,,,,,2019,Texas Christian,,,,
Millard Bradford,S,Fork Union,VA,5'11'',180,78,,,91,,,2019,Texas Christian,,,,
Blair Conwright,WR,El Paso,TX,5'11'',176,78,,,59,,,2019,Texas Christian,,,,
Zach Marcheselli,OLB,Broken Arrow,OK,6'1'',215,78,,,8,,,2019,Texas Christian,,,,
Mikel Barkley,WR,Palomar College,CA,5'11'',165,78,,,80,,,2019,Texas Christian,,,,
Marcus Williams,OT,Longview,TX,6'4'',255,77,,,109,,,2019,Texas Christian,,164,120,
Dee Winters,WR,Burton,TX,5'11'',201,77,,,8,,,2019,Texas Christian,,,,
Soni Misi,DT,Santa Rosa Junior College,CA,6'2'',300,77,,,107,,,2019,Texas Christian,,,,
Earl Barquet,DE,Marrero,LA,6'3'',235,77,,,57,,,2019,Texas Christian,,172,128,
Darwin Barlow,RB,Newton,TX,5'11'',192,77,,,10,,,2019,Texas Christian,,NR,NR,
Tony Wallace,CB,Independence Community College,NV,5'10'',180,76,,,96,,,2019,Texas Christian,,203,151,
Josh Foster,ATH,Newton,TX,6'0'',170,76,,,8,,,2019,Texas Christian,,,,
Parker Workman,OLB,Snow College,UT,6'3'',240,76,,,151,,,2019,Texas Christian,,,,
Thomas Armstrong,DE,Hollywood,FL,6'3'',225,75,,,,,,2019,Texas Christian,,,,
Adam Plant,DE (LQ),Las Vegas,NV,6'5'',244,74,,,29,,,2019,Texas Christian,,,,
Jordan Sandy,K,Melbourne,AUS,ProKick Australia,6'3'',210,74,,,,,2019,Texas Christian,,,,
Shameik Blackshear,DE (TR),Bluffton,SC,University of South Carolina,6'4'',250,TR,,,,,2019,Texas Christian,,,,
Alex Delton,QB-DT (TR),Hays,KS,Kansas State University,6'0'',200,TR,,,,,2019,Texas Christian,,,,
Zachary Evans,RB,Houston,TX,6'0'',200,90.0,TCU,,1,1,16,2020,Texas Christian,,,,
Jaquaze Sorrells,DT,Winter Park,FL,6'3'',286,86.0,TCU,,, None, None,2020,Texas Christian,,,,
Quentin Johnston,WR,Temple,TX,6'3'',180,84.0,TCU,,63,,,2020,Texas Christian,,,,
Garrett Hayes,OT,Athens,TX,6'5'',290,84.0,TCU,,14,24,19,2020,Texas Christian,,,,
Keontae Jenkins,CB,Virginia Beach,VA,5'10'',165,81.0,TCU,,18,,,2020,Texas Christian,,,,
Patrick Jenkins,DT,Marrero,LA,6'2'',285,80.0,TCU,,24,158,12,2020,Texas Christian,,,,
Bud Clark,CB,Alexandria,LA,6'1'',170,80.0,TCU,,27,,,2020,Texas Christian,,,,
Savion Williams,WR,Marshall,TX,6'4'',195,79.0,TCU,,, None,,2020,Texas Christian,,,,
Altrique Barlow,OG,Virginia Beach,VA,6'3'',345,79.0,TCU,,28,,,2020,Texas Christian,,,,
Caleb Medford,WR,Henderson,TX,6'3'',180,78.0,TCU,,100,111,85,2020,Texas Christian,,,,
Jamoni Hodge,OLB,Winston-Salem,NC,6'2'',220,77.0,TCU,,6,,,2020,Texas Christian,,,,
Brandon Coleman,OT,Denton,TX,6'6'',310,77.0,TCU,,7,,,2020,Texas Christian,,,,
Michael Nichols,OT,Justin,TX,6'4'',255,77.0,TCU,,75,,,2020,Texas Christian,,,,
Eli Williams,ATH,Sapulpa,OK,6'3'',215,77.0,TCU,,57,,,2020,Texas Christian,,,,
Blake Nowell,WR,Ardmore,OK,6'4'',180,76.0,TCU,,138,158,10,2020,Texas Christian,,,,
Kendre Miller,ATH,Mount Enterprise,TX,6'0'',210,76.0,TCU,,65,162,119,2020,Texas Christian,,,,
Tyler Guyton,OT,Manor,TX,6'5'',275,76.0,TCU,,93,180,132,2020,Texas Christian,,,,
Dominic Richardson,RB,Oklahoma City,OK,6'0'',190,76.0,TCU,,73,182,12,2020,Texas Christian,,,,
Khari Coleman,OLB,New Orleans,LA,6'2'',215,75.0,TCU,,91,452,44,2020,Texas Christian,,,,
Stephon Brown,QB,Kernersville,NC,6'5'',220,74.0,TCU,,1, None, None,2020,Texas Christian,,,,
Dylan Horton,S,Frisco,TX,6'3'',205,,TCU,,, None, None,2020,Texas Christian,,,,
T.J. Storment,OT,Statesville,NC,6'6'',320,,TCU,,, None, None,2020,Texas Christian,,,,
Sam Jackson,WR,Naperville,IL,5'11'',170,,83,TCU,33,16,1,2021,Texas Christian,,,,
Ahmonte Watkins,ATH,Houston,TX,5'10'',175,,81,TCU,269,53,45,2021,Texas Christian,,,,
Chris Murray,OLB,Wichita Falls,TX,6'3'',240,,81,TCU,29,,,2021,Texas Christian,,,,
Landyn Watson,DE,Hutto,TX,6'3'',240,,80,TCU,34,65,54,2021,Texas Christian,,,,
Quincy Brown,WR,Destrehan,LA,6'4'',175,,80,TCU,62,,,2021,Texas Christian,,,,
Marvin Covington,CB,Mansfield,TX,5'11'',180,,79,TCU,29,,,2021,Texas Christian,,,,
Da'Veawn Armstead,S,Baton Rouge,LA,6'0'',180,,79,TCU,22,143,110,2021,Texas Christian,,,,
D'Arco Perkins-McAllister,S,Nashville,TN,6'1'',185,,78,TCU,112,,,2021,Texas Christian,,,,
Jasper Lott,TE-Y,Argyle,TX,6'5'',240,,77,TCU,16,313,29,2021,Texas Christian,,,,
Chase Jackson,WR,Choctaw,OK,6'2'',170,,77,TCU,84,,,2021,Texas Christian,,,,
Trent Battle,QB-DT,Daphne,AL,6'1'',190,,77,TCU,154,214,160,2021,Texas Christian,,,,
Noah Bolticoff,OT,Rose Hill,KS,6'6'',270,,76,TCU,95,246,186,2021,Texas Christian,,,,
T.J. Steele,WR,Lubbock,TX,6'0'',180,,76,TCU,,,,2021,Texas Christian,,,,
Jayhvion Gipson,OLB,Houston,TX,6'1'',205,,75,TCU,,,,2021,Texas Christian,,,,
Jordan Hudson,WR,Garland,TX,6'1'',190,86,TCU  ,,6,,,2022,Texas Christian,,15,14,
Chace Biddle,S,Garland,TX,6'0'',185,83,TCU  ,,131,,,2022,Texas Christian,,,,
D.J. Allen,WR,Gladewater,TX,5'11'',185,81,TCU  ,,33,,,2022,Texas Christian,,59,41,
Damonic Williams,DT,Mission Hills,CA,,6'1'',285,80,,39,,,2022,Texas Christian,,,,TCU  
