Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Quay Picou,DT,Buford,GA,6'3'',280,36,79,Tennessee,8,,,2015,Tennessee,,,,,,,,,,,
Kyle Oliver,TE-H,Murfreesboro,TN,6'5'',230,8,79,Tennessee,54,,,2015,Tennessee,,,,,,,,,,,
John Kelly,RB,Oak Park,MI,5'10'',195,54,78,Tennessee,38,,,2015,Tennessee,,,,,,,,,,,
Darrell Miller,CB,Cedar Hill,TX,5'11'',169,38,78,Tennessee,35,279,63,2015,Tennessee,,,,,,,,,,,
Austin Smith,OLB,Buford,GA,6'3'',220,35,78,Tennessee,47,,,2015,Tennessee,,,,,,,,,,,
Stephen Griffin,S,Charlotte,NC,6'3'',187,47,78,Tennessee,360,,21,2015,Tennessee,,,,,,,,,,,
Jocquez Bruce,ATH,Knoxville,TN,5'11'',166,83,77,Tennessee,6,,,2015,Tennessee,,,,,,,,,,,
Tommy Townsend,K,Orlando,FL,6'2'',200,6,76,Tennessee,104,505,29,2015,Tennessee,,,,,,,,,,,
Vincent Perry,RB,Nashville,TN,5'10'',175,104,75,Tennessee,,,,2015,Tennessee,,,,,,,,,,,
Zach Stewart,OG,Coalfield,TN,6'5'',322,85,75,Tennessee,4,,,2015,Tennessee,,,,,,,,,,,
Riley Lovingood,LS,Hendersonville,TN,6'2'',240,4,68,Tennessee,,,,2015,Tennessee,,,,,,,,,,,
Tyler Byrd,ATH,Naples,FL,6'0'',194,,86,Tennessee,1,22,8,2016,Tennessee,,,,,,,,,,,
Marquill Osborne,CB,Charlotte,NC,6'0'',180,,84,Tennessee,8,41,4,2016,Tennessee,,,,,,,,,,,
Jarrett Guarantano,QB,Oradell,NJ,6'4'',194,,83,Tennessee,4,,,2016,Tennessee,,,,,,,,,,,
Carlin Fils-Aime,RB,Naples,FL,5'11'',174,,83,Tennessee,8,,,2016,Tennessee,,,,,,,,,,,
Marquez Callaway,S,Warner Robins,GA,6'2'',170,,82,Tennessee,7,,,2016,Tennessee,,,,,,,,,,,
Daniel Bituli,ILB,Nashville,TN,6'3'',220,,82,Tennessee,8,,,2016,Tennessee,,,,,,,,,,,
Nigel Warrior,SS,Suwanee,GA,6'0'',188,,82,Tennessee,8,76,16,2016,Tennessee,,,,,,,,,,,
Alexis Johnson,DT,Atlanta,GA,6'4'',300,,82,Tennessee,1,NR,NR,2016,Tennessee,,,,,,,,,,,
Ryan Johnson,OT,Brentwood,TN,6'6'',280,,81,Tennessee,22,124,3,2016,Tennessee,,,,,,,,,,,
Jeff George,WR,Leavenworth,KS,6'5'',190,,81,Tennessee,7, NR, NR,2016,Tennessee,,,,,,,,,,,
Corey Henderson,WR,Shreveport,LA,6'1'',170,,80,Tennessee,56,148,23,2016,Tennessee,,,,,,,,,,,
Brandon Johnson,WR,Plantation,FL,6'2'',169,,80,Tennessee,57,,,2016,Tennessee,,,,,,,,,,,
Mykelle McDaniel,DE,Loganville,GA,6'4'',255,,80,Tennessee,41,,,2016,Tennessee,,,,,,,,,,,
Latrell Williams,WR,Lake City,FL,5'11'',167,,80,Tennessee,,,,2016,Tennessee,,,,,,,,,,,
Marcus Tatum,OT,Daytona Beach,FL,6'6'',252,,80,Tennessee,33,204,70,2016,Tennessee,,,,,,,,,,,
Desmond Henderson,CB,Duncan,SC,6'0'',180,,79,Tennessee,6,,,2016,Tennessee,,,,,,,,,,,
Ja'Quain Blakely,OLB,Moultrie,GA,6'2'',210,,75,Tennessee,70,,,2016,Tennessee,,,,,,,,,,,
Nate Niehaus,OT,Cincinnati,OH,6'7'',252,,75,Tennessee,,,,2016,Tennessee,,,,,,,,,,,
Baylen Buchanan,CB,Suwanee,GA,5'11'',188,,75,Tennessee,,,,2016,Tennessee,,,,,,,,,,,
Trey Smith,OT,Jackson,TN,6'6'',299,,93,Tennessee,1,,,2017,Tennessee,,1,1,,,,,,,,
Maleik Gray,OLB,LaVergne,TN,6'2'',187,,84,Tennessee,7,,,2017,Tennessee,,,,,,,,,,,
