Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University  , Pos, City, State, Height, Weight, Grade, University,Grade 
Devaughn Cooper,WR,Harbor City,CA,5'11'',171,77.0,,Arizona,,,,2016,Arizona,,,,,,,,,,,
Justin Holt,DT,Tucson,AZ,6'1'',304,77.0,,Arizona,54,,,2016,Arizona,,,,,,,,,,,
Isaiah Hayes,CB,Calabasas,CA,5'11'',170,76.0,,Arizona,50,,,2016,Arizona,114,,,,,,,,,,
Jacob Colacion,ILB,La Habra,CA,6'1'',215,75.0,,Arizona,34,,,2016,Arizona,,,,,,,,,,,
Jamie Nunley,TE,Murrieta,CA,6'3'',205,74.0,,Arizona,,,,2016,Arizona,,,,,,,,,,,
J.J. Taylor,RB,Corona,CA,5'5'',160,74.0,,Arizona,161,,,2016,Arizona,107,89,,,,,,,,,
Bryson Cain,OT,Temecula,CA,6'4'',263,73.0,,Arizona,91,,,2016,Arizona,183,119,,,,,,,,,
Jarrius Wallace,S,Marrero,LA,6'0'',185,72.0,,Arizona,114,,,2016,Arizona,597,64,,,,,,,,,
Tristan Cooper,S,El Paso,TX,6'1'',180,72.0,,Arizona,72.0,,,2016,Arizona,,,,,,,,,,,
Jessie Britt,ATH,Auburndale,FL,5'9'',177,68.0,,Arizona,135,,,2016,Arizona,,,,,,,,,,,
Lorenzo Burns,ATH,Temecula,CA,5'10'',146,68.0,,Arizona,,,,2016,Arizona,,,,,,,,,,,
Jalen Cochran,OLB,Canton,MI,6'3'',225,,,Arizona,NR,,,2016,Arizona,NR,NR,,,,,,,,,
Francisco Nelson,DE,Lakeland,FL,6'3'',215,,,Arizona,,,,2016,Arizona,,,,,,,,,,,
Shawn Poindexter,WR,Glendale,AZ,6'6'',215,,,Arizona,,,,2016,Arizona,,,,,,,,,,,
Jalen Harris,DE,Mesa,AZ,6'3'',210,5,80,Arizona Wildcats,34,64,5,2017,Arizona,,,,,,,,,,,
Nathan Tilford,RB,Ontario,CA,6'1'',205,5,80,Arizona Wildcats,36,66,39,2017,Arizona,,,,,,,,,,,
Tony Fields,LB,Las Vegas,NV,6'1'',200,5,79,Arizona Wildcats,33,,,2017,Arizona,,,,,,,,,,,
Kurtis Brown,DT,Bakersfield,CA,6'1'',276,5,79,Arizona Wildcats,46,81,47,2017,Arizona,,,,,,,,,,,
K'Hari Lane,QB, Montezuma,GA,6'0'',222,4,77,Arizona Wildcats,, None, None,2017,Arizona,,,,,,,,,,,
Brian Casteel,WR,Covina,CA,5'10'',193,4,77,Arizona Wildcats,52,,,2017,Arizona,,,,,,,,,,,
Scott Young,S,La Mesa,CA,5'11'',186,4,77,Arizona Wildcats,57,400,38,2017,Arizona,,,,,,,,,,,
Troy Young,S,Mobile,AL,6'0'',193,4,77,Arizona Wildcats,,80,78,2017,Arizona,,,,,,,,,,,
Kylan Wilborn,DE,Sherman Oaks,CA,6'1'',236,4,76,Arizona Wildcats,81,134,12,2017,Arizona,,,,,,,,,,,
My-King Johnson,DE,Tempe,AZ,6'4'',220,4,76,Arizona Wildcats,27,,,2017,Arizona,,,,,,,,,,,
Joshua Brown,ILB,Long Beach,CA,6'1'',243,4,76,Arizona Wildcats,,17,13,2017,Arizona,,,,,,,,,,,
Bryce Gilbert,TE,Gilbert,AZ,6'4'',220,4,76,Arizona Wildcats,75,,,2017,Arizona,,,,,,,,,,,
Rhedi Short,CB,Los Angeles,CA,6'1'',177,4,76,Arizona Wildcats,152,,,2017,Arizona,,,,,,,,,,,
Malik Hausman,CB,Las Vegas,NV,5'11'',168,4,76,Arizona Wildcats,155,79,12,2017,Arizona,,,,,,,,,,,
Tony Wallace,CB,Las Vegas,NV,5'10'',170,4,75,Arizona Wildcats,20, NR, NR,2017,Arizona,,,,,,,,,,,
Sione Taufahema,DT,Mission Hills,CA,6'3'',310,4,75,Arizona Wildcats,33,,,2017,Arizona,,,,,,,,,,,
Bryce Wolma,TE,Saline,MI,6'4'',230,4,75,Arizona Wildcats,169,,,2017,Arizona,,,,,,,,,,,
Edgar Burrola,OT,Las Vegas,NV,6'6'',295,4,75,Arizona Wildcats,, None, None,2017,Arizona,,,,,,,,,,,
Gary Brightwell,RB,Baltimore,MD,5'11'',188,4,74,Arizona Wildcats,36,,,2017,Arizona,,,,,,,,,,,
Lucas Havrisik,K,Norco,CA,6'1'',165,3,74,Arizona Wildcats,85,,,2017,Arizona,,,,,,,,,,,
Drew Dixon,ATH,Tucson,AZ,6'3'',199,3,74,Arizona Wildcats,41,,,2017,Arizona,,,,,,,,,,,
Rhett Rodriguez,QB,Tucson,AZ,6'0'',193,3,74,Arizona Wildcats,185,,,2017,Arizona,,,,,,,,,,,
Xavier Bell,S,Santa Ana,CA,6'2'',185,3,73,Arizona Wildcats,98,,,2017,Arizona,,,,,,,,,,,
Jose Ramirez,OLB,Auburndale,FL,6'2'',189,3,72,Arizona Wildcats,109,214,119,2017,Arizona,,,,,,,,,,,
Colin Schooler,OLB,Mission Viejo,CA,6'0'',201,3,71,Arizona Wildcats,112,,,2017,Arizona,,,,,,,,,,,
Anthony Pandy,OLB,Harbor City,CA,6'1'',208,3,71,Arizona Wildcats,,,,2017,Arizona,,,,,,,,,,,
Kevin Doyle,QB-PP,Washington,DC,6'4'',210,,80,Arizona,19,,,2018,Arizona,34,3,,,,,,,,,
Jailen Bailey,WR,San Diego,CA,5'10'',180,,78,Arizona,120,,,2018,Arizona,,,,,,,,,,,
Jaden Mitchell,WR,Las Vegas,NV,5'11'',175,,78,Arizona,,,,2018,Arizona,,,,,,,,,,,
David Watson,OT,Tucson,AZ,6'5'',300,,78,Arizona,65,,,2018,Arizona,,,,,,,,,,,
Dayven Coleman,S,Mesquite,TX,6'0'',196,,77,Arizona,43,,,2018,Arizona,,,,,,,,,,,
Thomas Marcus,WR,San Diego,CA,6'3'',185,,77,Arizona,166,,,2018,Arizona,140,90,,,,,,,,,
Jamarye Joiner,QB-DT,Vail,AZ,6'2'',197,,76,Arizona,24,,,2018,Arizona,146,10,,,,,,,,,
Jhevon Hill,ATH,San Bernardino,CA,6'2'',178,,76,Arizona,75,,,2018,Arizona,147,93,,,,,,,,,
Mykee Irving,DT,Calabasas,CA,6'3'',333,,76,Arizona,94,,,2018,Arizona,,,,,,,,,,,
P.J. Johnson,DT (JC),Sacramento,CA,6'5'',315,,75,Arizona,20,,,2018,Arizona,,,,,,,,,,,
Darrius Smith,RB,Pearland,TX,5'9'',170,,74,Arizona,,,,2018,Arizona,,,,,,,,,,,
Adam Plant,DE,Las Vegas,NV,6'5'',244,,74,Arizona,188,,,2018,Arizona,118,9,,,,,,,,,
Nahe Sulunga,DT,Calabasas,CA,6'3'',252,,74,Arizona,97,,,2018,Arizona,189,118,,,,,,,,,
Trey Adams,WR,Frisco,TX,6'3'',178,,74,Arizona,199,,,2018,Arizona,227,184,,,,,,,,,
Steven Bailey,OG (JC),Peoria,AZ,6'3'',300,,74,Arizona,6,,,2018,Arizona,,,,,,,,,,,
Donovan Laie,OG,Oceanside,CA,6'4'',302,,74,Arizona,201,,,2018,Arizona,,,,,,,,,,,
