Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Will Huggins,TE-Y,Shawnee Mission,KS,6'6'',225,,76,Kansas,19,156,10,2020,Kansas,,,
Lawrence Arnold,WR,DeSoto,TX,6'2'',175,,76,Kansas,147,,,2020,Kansas,,,
Taiwan Berryhill,OLB,New Orleans,LA,6'1'',200,,76,Kansas,82,402,38,2020,Kansas,,,
Krishawn Brown,OLB,Tulsa,OK,6'3'',205,,76,Kansas,84,,,2020,Kansas,,,
Delbert Mayberry Jr.,CB,Owasso,OK,5'11'',175,,75,Kansas,72,187,13,2020,Kansas,,,
Alonso Person,OLB,Harbor City,CA,6'3'',215,,75,Kansas,101,,,2020,Kansas,,,
Tristan Golightly,WR,Mesquite,TX,6'5'',200,,74,Kansas,198,235,172,2020,Kansas,,,
Trevor Kardell,WR,Lee's Summit,MO,6'5'',195,,74,Kansas,199,236,22,2020,Kansas,,,
Johnquai Lewis,WR,Miami,FL,5'11'',165,,74,Kansas,201,540,179,2020,Kansas,,,
Caleb Taylor,DE,Florissant,MO,6'4'',245,,74,Kansas,,148,26,2020,Kansas,,,
Karon Prunty,CB,Portsmouth,VA,6'2'',180,,74,Kansas,115,,,2020,Kansas,,,
