Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University 
Markese Stepp,RB,Los Angeles,CA,6'0'',235,,Nebraska,,,,,2021,Nebraska,,,
Samori Toure,WR,Portland,OR,6'2'',190,,Nebraska,,,,,2021,Nebraska,,,
Jaeden Gould,CB,Oradell,NJ,6'2'',205,82.0,,,29,25,4,2022,Nebraska,,,
Janiran Bonner,WR,Ellenwood,GA,6'1'',195,80.0,,,42,,,2022,Nebraska,,,
Decoldest Crawford,WR,Shreveport,LA,6'1'',165,80.0,,,56,168,20,2022,Nebraska,,,
Jalil Martin,ATH,Chicago,IL,6'3'',190,79.0,,,40,,,2022,Nebraska,,,
Malcolm Hartzog,ATH,Bassfield,MS,5'10'',175,78.0,,,54,,,2022,Nebraska,,,
Ernest Hausmann,ILB,Columbus,NE,6'3'',205,78.0,,,24,140,5,2022,Nebraska,,,
Richard Torres,QB-PP,San Antonio,TX,6'5'',210,77.0,,,34,,,2022,Nebraska,,,
Deshon Singleton,S,Greensburg,LA,6'2'',200,77.0,,,16th,,,2022,Nebraska,,,
Anthony Grant,RB,Buford,GA,5'11'',200,77.0,,,1,,,2022,Nebraska,,,
Ajay Allen,RB,Monroe,LA,5'11'',185,76.0,,,74,,,2022,Nebraska,,,
Victor Jones Jr.,WR,Orlando,FL,6'2'',185,76.0,,,155,,,2022,Nebraska,,,
Javier Morton,CB,Stone Mountain,GA,6'2'',200,76.0,,,39,,,2022,Nebraska,,,
Jake Appleget,OLB,Lincoln,NE,6'3'',195,75.0,,,237,,,2022,Nebraska,,,
Brodie Tagaloa,TE-Y,Concord,CA,6'3'',250,75.0,,,38,208,107,2022,Nebraska,,,
Chase Androff,TE-Y,Lakeville,MN,6'6'',230,74.0,,,40,157,8,2022,Nebraska,,,
Gage Stenger,ATH,Omaha,NE,6'1'',195,74.0,,,137,,,2022,Nebraska,,,
Emmett Johnson,RB,Richfield,MN,6'0'',185,73.0,,,103,,,2022,Nebraska,,,
Justin Evans-Jenkins,DT,Irvington,NJ,6'2'',270,73.0,,,123,,,2022,Nebraska,,,
Tommi Hill,CB,Orlando,FL,6'1'',185,,Nebraska,,,,,2022,Nebraska,,,
Isaiah Garcia-Castaneda,WR,Mission Viejo,CA,6'0'',190,,Nebraska,,,,,2022,Nebraska,,,
Kevin Williams,OG,Greeley,CO,6'5'',330,,Nebraska,,,,,2022,Nebraska,,,
Timmy Bleekrode,K,Greenville,SC,5'8'',189,,Nebraska,,,,,2022,Nebraska,,,
Brian Buschini,K,Missoula,MT,6'0'',206,,Nebraska,,,,,2022,Nebraska,,,
Chubba Purdy,QB-PP,Gilbert,AZ,6'2'',215,,Nebraska,,,,,2022,Nebraska,,,
Deondre Jackson,RB,Stone Mountain,GA,5'11'',225,,Nebraska,,,,,2022,Nebraska,,,
Casey Thompson,QB-DT,Newcastle,OK,6'1'',200,,Nebraska,,,,,2022,Nebraska,,,
Trey Palmer,WR,Kentwood,LA,6'0'',185,,Nebraska,,,,,2022,Nebraska,,,
