Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University , Pos, City, State, Height, Weight, Stars, Grade, University
Rico Windham,S,Midwest City,OK,6'0'',170,70.0,,160,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
Gabe Cantu,OG,Tulsa,OK,6'3'',285,70.0,,180,416,31,2020,Tulsa,,,,Tulsa,,,,,,,,,
Jaylon Shelton,ATH,West Rusk,,6'2'',180,70.0,,192,432,320,2020,Tulsa,,,,Tulsa,,,,,,,,,
Kaylon Washington,CB,Fort Worth,TX,6'2'',175,70.0,,212,437,324,2020,Tulsa,,,,Tulsa,,,,,,,,,
Deante Betts,OLB,Arlington,TX,6'1'',190,69.0,,189,448,332,2020,Tulsa,,,,Tulsa,,,,,,,,,
Damarco Williams,S,Temple,TX,6'3'',180,69.0,,176,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
Sean O'Keefe,WR,San Saba,TX,6'2'',185,69.0,,166,1098,20,2020,Tulsa,,,,Tulsa,,,,,,,,,
Jaden Muskrat,DT,Bentonville,AR,6'3'',275,68.0,,476,259,32,2020,Tulsa,,,,Tulsa,,,,,,,,,
Haydon Grant,DE,Owasso,OK,6'5'',215,68.0,,NR,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
Bryce Alonso,DE,Tulsa,OK,6'4'',265,,,,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
Deneric Prince,RB,Manvel,TX,6'1'',196,,,,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
Brian Johnson,OLB,Manvel,TX,6'2'',190,,,,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
Grayson Boomer,TE-Y,Collinsville,OK,6'3'',230,,,,,,2020,Tulsa,,,,Tulsa,,,,,,,,,
Bill Jackson,RB,Saint Louis,MO,5'10'',195,Tulsa,,,273,19,2021,Tulsa,75,,,,,,,,,,,,
Braylon Braxton,QB,Frisco,TX,6'1'',200,Tulsa,,62,,,2021,Tulsa,74,,,,,,,,,,,,
Marquis Shoulders,WR,Katy,TX,5'8'',155,Tulsa,,218,,,2021,Tulsa,74,,,,,,,,,,,,
Scottie Alexander,ATH,Collierville,TN,6'1'',185,Tulsa,,125,691,43,2021,Tulsa,73,,,,,,,,,,,,
Jaden Moore,ILB,Shreveport,LA,6'2'',210,Tulsa,,78,,,2021,Tulsa,70,,,,,,,,,,,,
Owen Ostroski,DE,Tulsa,OK,6'2'',245,Tulsa,,231,,,2021,Tulsa,70,,,,,,,,,,,,
Roderick Hopes,S,Jefferson,TX,6'2'',180,Tulsa,,172,473,354,2021,Tulsa,70,,,,,,,,,,,,
Samari Allen,DT,Pensacola,FL,6'0'',275,Tulsa,,138,945,304,2021,Tulsa,70,,,,,,,,,,,,
Tyler McMillan,OG,River Rouge,MI,6'5'',315,Tulsa,,142,,,2021,Tulsa,70,,,,,,,,,,,,
Bryce Bray,OT,Bixby,OK,6'5'',310,Tulsa,,, None, None,2021,Tulsa,Not Available,,,,,,,,,,,,
Jon-Michael Terry,OLB,Tulsa,OK,6'3'',245,Tulsa,,,,,2021,Tulsa,Not Available,,,,,,,,,,,,
Timothy Carpenter,,,,,,,,16,,,2024,Tulsa,,76,27,,, QB-DT, Trotwood, OH, 6'3'',215.0, 78, None, Tulsa
Jaxon Lee,,,,,,,,56,,,2024,Tulsa,,169,134,,, OLB, Frisco, TX, 6'2'',215.0, 77, None, Tulsa
Joshua Smith,,,,,,,,105,,,2024,Tulsa,,175,139,,, WR, Crandall, TX, 6'4'',205.0, 77, None, Tulsa
Alex Green,,,,,,,,119,,,2024,Tulsa,,199,156,,, WR, Hutto, TX, 5'11'',190.0, 77, None, Tulsa
Elijah Green,,,,,,,,87,,,2024,Tulsa,,,,,, ATH, Oklahoma City, OK, 6'1'',180.0, 77, None, Tulsa
Brody Duffel,,,,,,,,120,,,2024,Tulsa,,,,,, OT, Bixby, OK, 6'4'',250.0, 76, None, Tulsa
Jewlyen Roberts,,,,,,,,23,,,2024,Tulsa,,,,,, TE-Y, Richardson, TX, 6'4'',235.0, 76, None, Tulsa
Aquavious Dunbar,,,,,,,,88,,,2024,Tulsa,,508,12,,, OLB, Lake Village, AR, 6'1'',220.0, 76, None, Tulsa
