Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,Grade  ,University  
Jeffrey Taylor,OG,Jonesboro,GA,6'1'',293,71.0,,,205,280,215,2016,Colorado State,,,,
Anthony Hawkins,WR,Arlington,TX,5'11'',180,70.0,,,162,282,12,2016,Colorado State,,,,
Toby McBride,DEF,Fort Morgan,CO,6'2'',240,70.0,,,155,246, None,2016,Colorado State,,,,
Chris Gaston,S,La Puente,CA,6'0'',173,69.0,,,NR,,,2016,Colorado State,,,,
Anthony Smith,DE,Las Vegas,NV,6'3'',250,,,,NR,,,2016,Colorado State,,,,
Arjay Jean,DE,Fort Lauderdale,FL,6'3'',208,,,,,,,2016,Colorado State,,,,
Marvin Kinsey,S,Atlanta,GA,6'0'',190,,,,, None, None,2016,Colorado State,,,,
Darius May,RB,New Orleans,LA,5'11'',190,,,,,,,2016,Colorado State,,,,
Robert Awunganyi,ATH,Burbank,CA,5'11'',170,,,,, None,,2016,Colorado State,,,,
Domonique Williams,CB,Knoxville,TN,5'11'',185,,,,NR, NR, NR,2016,Colorado State,,,,
Trey Sutton,ILB,Miami,FL,6'1'',215,,,,,,,2016,Colorado State,,,,
Michael Gallup,ATH,Monroe,GA,6'0'',190,,,,NR,,,2016,Colorado State,,,,
Detrich Clark,ATH,Thatcher,AZ,5'10'',180,,,,,,,2016,Colorado State,,,,
Tavis Guerra,K,Whittier,CA,5'11'',195,,,,,,,2016,Colorado State,,,,
Houston Haynes,CB,Palmdale,CA,6'4'',205,,,,,,,2016,Colorado State,,,,
Faton Bauta,QB-PP,Palm Beach Gardens,FL,6'2'',225,,,University of Georgia,,,,2016,Colorado State,,,,
Jaylen Hearst,WR,Keller,TX,6'1'',183,,78.0,Colorado State,90,130,92,2019,Colorado State,,,,
Brandon Crossley,CB,Little Elm,TX,5'10'',155,,77.0,Colorado State,65,161,118,2019,Colorado State,,,,
Keevan Bailey,CB,Conyers,GA,6'0'',180,,75.0,Colorado State,105,,,2019,Colorado State,,,,
Tyreese Jackson,RB,New Iberia,LA,5'11'',215,,75.0,Colorado State,90,559,38,2019,Colorado State,,,,
Dante Wright,WR,Navarre,FL,5'9'',156,,71.0,Colorado State,194,770,247,2019,Colorado State,,,,
Xavier Goldsmith,CB,Detroit,MI,5'8'',160,,,Colorado State,,,,2019,Colorado State,,,,
Kyle Helbig,TE,Broomfield,CO,6'3'',215,,,Colorado State,, None, None,2019,Colorado State,,,,
Mohammad Kamara,OLB,Newark,NJ,6'1'',200,,,Colorado State,,,,2019,Colorado State,,,,
