Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,School, Reg_rank, State_rank,University  
C.J. Reavis,S (JC),Chester,VA,6'0'',205,Marshall,,,,,2016,Marshall,,,,,
Shurod Thompson,S,Antioch,CA,6'2'',195,Marshall  ,,,,,2017,Marshall,82,,,,
Monterio Hunt,ATH,Walnut,MS,6'1'',175,Marshall  ,,48,,,2017,Marshall,78,,,,
Darius Hodge,ILB,Rolesville,NC,6'1'',255,Marshall  ,,31,,,2017,Marshall,75,,,,
Sheldon Evans,RB,Roswell,GA,5'11'',205,Marshall  ,,NR,NR,NR,2017,Marshall,NR,,,,
Naquan Renalds,WR,Winter Garden,FL,6'2'',180,Marshall  ,,, None, None,2017,Marshall,NR,,,,
Rodney Croom,DE,Cincinnati,OH,6'2'',245,Marshall  ,,,,,2017,Marshall,NR,,,,
Ladarius Clark,CB,Fort Meade,FL,5'8'',170,Marshall  ,,,,,2017,Marshall,NR,,,,
Isaiah Green,QB-DT,Fairburn,GA,6'1'',180,Marshall  ,,,,,2017,Marshall,NR,,,,
Decavilon Reese,RB,Cleveland,OH,5'10'',185,Marshall  ,,,,,2017,Marshall,NR,,,,
Kyron Taylor,OG,Homestead,FL,6'3'',270,Marshall  ,,NR,NR,NR,2017,Marshall,NR,,,,
Janiero Crankfield,WR,Clearwater,FL,5'11'',170,Marshall  ,,,,,2017,Marshall,NR,,,,
Cole Phillips,K,Cairo,GA,6'0'',205,Marshall  ,,,,,2017,Marshall,NR,,,,
Jamare Edwards,DE,Miami,FL,6'2'',230,Marshall  ,,NR,,,2017,Marshall,NR,,,,
Nirion Washington,CB,Arcadia,FL,6'0'',175,Marshall  ,,,,,2017,Marshall,NR,,,,
Donyae Moody,OLB,Salinas,CA,6'2'',220,Marshall  ,,,,,2017,Marshall,NR,,,,
Trevaughn Rodriguez,RB,Daytona Beach,FL,5'10'',195,Marshall  ,,NR,,,2017,Marshall,NR,,,,
Marcel Williams,ATH,Iowa Falls,IA,5'10'',170,Marshall  ,,,,,2017,Marshall,NR,,,,
Kereon Merrell,CB,Vienna,GA,5'11'',175,Marshall  ,,NR,NR,NR,2017,Marshall,NR,,,,
Artis Johnson,OLB,Reedley,CA,6'1'',215,Marshall  ,,,,,2017,Marshall,NR,,,,
Armani Levias,TE-Y,Pittsburg,CA,6'3'',250,Marshall  ,,,,,2017,Marshall,NR,,,,
Darian Owens,WR,Fresno,CA,6'0'',190,Marshall  ,,,,,2017,Marshall,NR,,,,
Tyre Brady,WR,Homestead,FL,6'3'',200,Marshall,,,,,2017,Marshall,TR,,,,
Jaqaun Webb,WR,Oxford,MS,6'0'',178,Marshall,,,,,2018,Marshall,80.0,, None, None,
Corey Gammage,WR,Delray Beach,FL,6'2'',188,Marshall,,143,,,2018,Marshall,78.0,,,,
Patrick Keenan,DE,Tampa,FL,Howard W. Blake High School6'5'',225,Marshall,,96,,,2018,Marshall,76.0,,431,159,
Sharrod Frazier,S,Brunswick,GA,Brunswick High School5'11'',190,Marshall,,56,,,2018,Marshall,76.0,,,,
Steven Gilmore,CB,Rock Hill,SC,South Pointe High School5'10'',155,Marshall,,,,,2018,Marshall,76.0,, None, None,
Jalynn Sykes,RB,Rome,GA,Rome High School5'11'',195,Marshall,,59,,,2018,Marshall,75.0,,,,
Talik Keaton,WR,Sarasota,FL,Booker High School6'0'',175,Marshall,,192,,,2018,Marshall,75.0,,532,202,
Aaron Morgan,DE,Miami,FL,Carol City High School6'4'',240,Marshall,,128,,,2018,Marshall,74.0,,,,
Bakari Jackson,OLB,Fort Myers,FL,Dunbar High School6'1'',210,Marshall,,,,,2018,Marshall,73.0,,615,237,
Lawrence Papillon,RB,Miami,FL,Dr. Krop High School5'9'',183,Marshall,,97,,,2018,Marshall,72.0,,668,264,
Koby Cumberlander,DE,Roswell,GA,Roswell High School6'2'',230,Marshall,,,,,2018,Marshall,,,,,
Caleb McMillan,WR,Orlando,FL,Bishop Moore High School6'2'',185,Marshall,,NR,,,2018,Marshall,,, NR, NR,
Arak McDuffie,DE,Louisville,KY,Trinity High School6'4'',240,Marshall,,,,,2018,Marshall,,,,,
Markeis Colvin,WR,Seffner,FL,Armwood High School5'10'',190,Marshall,,,,,2018,Marshall,,,,,
Owen Porter,ILB,Huntington,WV,Spring Valley High School6'2'',227,Marshall,,,,,2018,Marshall,,, None, None,
Trey Livingood,OG,Berea,KY,Madison Southern High School6'3'',297,Marshall,,NR,,,2018,Marshall,,, NR, NR,
Tyair Smith,ATH,Raleigh,NC,Broughton High School6'2'',204,Marshall,,,,,2018,Marshall,,,,,
Dalton Tucker,OT,Paris,KY,Bourbon County High School6'6'',295,Marshall,,NR,,,2018,Marshall,,,,,
Zack Ferris,OT,Somerset,KY,Pulaski County High School6'5'',311,Marshall,,,,,2018,Marshall,,,,,
Ethan Bingham,OT,Paintsville,KY,Johnson Central High School6'5'',310,Marshall,,,,,2018,Marshall,,,,,
Jacob Cassidy,TE-Y,Huntington,WV,Spring Valley High School6'3'',230,Marshall,,NR,,,2018,Marshall,,, NR, NR,
Tyquavious Terrell,WR,Leesburg,GA,Lee County High School6'0'',185,Marshall,,,,,2018,Marshall,,, None, None,
Isaiah Duncan,ATH,Ona,WV,Cabell Midland High School6'1'',215,Marshall,,,,,2018,Marshall,,, None, None,
John Jiles,S,Wake Forest,NC,Wake Forest High School6'2'',210,Marshall,,,,,2018,Marshall,,, None, None,
Sam Burton,OLB,Boca Raton,FL,Spanish River High School6'1'',220,Marshall,,NR,,,2018,Marshall,,, NR, NR,
Jermaine Cross,DT,New Port Richey,FL,Mitchell High School6'5'',280,Marshall,,,,,2018,Marshall,,,,,
Kenny Wilkins,RB,Bedford,OH,Bedford High School6'1'',210,Marshall,,,,,2018,Marshall,,, None, None,
Jordan Wayne-Prather,WR,Lancaster,CA,Antelope Valley College6'0'',190,Marshall,,,,,2018,Marshall,,,,,
Artie Henry III,WR,Sarasota,FL,San Diego City College6'0'',185,Marshall,,,,,2018,Marshall,,,,,
Justin Rohrwasser,K,Buffalo,NY,Erie Community College6'2'',205,Marshall,,,,,2018,Marshall,,, None, None,
Dallas Martin,ILB,Pleasanton,CA,City College of San Francisco6'2'',230,Marshall,,,,,2018,Marshall,,,,,
Alex Thomson,QB-PP,Keyport,NJ,6'5'',225,Marshall,,,,,2018,Marshall,,,,,
Dante Walker,DE,Ellenwood,GA,6'3'',237,Marshall,,41,,,2019,Marshall,80.0,,175,42,
Amir Richardson,WR,Morgantown,WV,6'1'',205,Marshall,,104,,,2019,Marshall,77.0,,85,5,
Josh Ball,OT,JC,Fredericksburg,VA,6'8'',77,Marshall,11,,,2019,Marshall,350.0,, None, None,
Knowledge McDaniel,RB,Bradenton,FL,5'11'',212,Marshall,,431,,,2019,Marshall,77.0,,,,
Grant Wells,QB-DT,Charleston,WV,6'1'',192,Marshall,,32,,,2019,Marshall,76.0,,119,8,
Deshawn Page,OLB,Knoxville,TN,6'1'',205,Marshall,,112,,,2019,Marshall,74.0,,594,41,
Tworn Seals,DE,Ellenwood,GA,6'5'',245,Marshall,,185,,,2019,Marshall,73.0,,673,143,
Elijah Alston,DE,Chesapeake,VA,6'2'',250,Marshall,,186,,,2019,Marshall,73.0,,,,
Tristen Bittner,OG,Wheeling,WV,6'4'',300,Marshall,,92,,,2019,Marshall,73.0,,176,9,
Rashawn Hunter,S,Cape Coral,FL,6'2'',170,Marshall,,109,,,2019,Marshall,73.0,,,,
Esaias Carpenter,DT,JC,El Dorado,KS,6'3'',73,Marshall,21,,,2019,Marshall,280.0,,,,
Jeremy Smith,RB,Savannah,GA,6'0'',183,Marshall,,110,,,2019,Marshall,72.0,,,,
Sidney Porter,S,Fort Lauderdale,FL,6'1'',190,Marshall,,117,,,2019,Marshall,72.0,,742,236,
Maurice Underwood,QB-DT,Miami,FL,6'3'',174,Marshall,,49,,,2019,Marshall,72.0,,759,241,
Juwan Truesdale,OT,Charlotte,NC,6'5'',250,Marshall,,156,,,2019,Marshall,70.0,,810,83,
Zack Leininger,TE-Y,JC,Dodge City,KS,6'4'',69,Marshall,7,,,2019,Marshall,230.0,,,,
Micah Abraham,CB,Tarpon Springs,FL,5'10'',172,Marshall,,NR,,,2019,Marshall,,, NR, NR,
