Name,Pos,City,State,Height,Weight,Grade,University,Year,Team,Stars,Pos_rank,Reg_rank,State_rank, Reg_rank, State_rank,University 
Bo Nix,QB-PP,Pinson,AL,6'2'',204,86,Auburn,2019,Auburn,,2,13,3,,,
Keiondre Jones,OG,Hogansville,GA,6'4'',341,85,Auburn,2019,Auburn,,1,26,10,,,
Charles Moore,DT,Louisville,MS,6'4'',265,84,Auburn,2019,Auburn,,12,,,,,
Zion Puckett,ATH,Griffin,GA,5'11'',194,84,Auburn,2019,Auburn,,118,60,15,,,
Jaren Handy,DE,Hattiesburg,MS,6'4'',270,84,Auburn,2019,Auburn,,13,65,8,,,
Derick Hall II,ATH,Gulfport,MS,6'4'',217,83,Auburn,2019,Auburn,,12,,,,,
Mark-Antony Richards,ATH,Wellington,FL,6'1'',190,83,Auburn,2019,Auburn,,13,,,,,
Jashawn Sheffield,ATH,St. Simons Island,GA,6'2'',175,83,Auburn,2019,Auburn,,15,83,19,,,
Cam'Ron Kelly,CB,Chesapeake,VA,6'0'',195,82,Auburn,2019,Auburn,,256,131,39,,,
D.J. Williams,RB,Sebring,FL,5'10'',210,81,Auburn,2019,Auburn,,32,188,47,,,
Jaylin Simpson,CB,St. Simons Island,GA,5'11'',165,80,Auburn,2019,Auburn,,18,,,,,
Kamaar Bell,OG,Moultrie,GA,6'3'',320,80,Auburn,2019,Auburn,,10,200,5,,,
Luke Deal,TE-Y,Greenwood,SC,6'4'',235,80,Auburn,2019,Auburn,,8,,,,,
Ja'varrius Johnson,ATH,Trussville,AL,5'9'',164,80,Auburn,2019,Auburn,,73,,,,,
Tyler Fromm,TE-H,Warner Robins,GA,6'5'',218,79,Auburn,2019,Auburn,,47,,,,,
Colby Wooden,DE,Lawrenceville,GA,6'3'',225,79,Auburn,2019,Auburn,,68,324,107,,,
Octavius Brothers,OLB,Rockledge,FL,6'1'',210,78,Auburn,2019,Auburn,,60,325,27,,,
