Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,School  
Jordan Gibbs,ILB,Miami,FL,6'1'',215,,,Florida International,,,,2013,Florida International,,,,,
Jonnu Smith,TE,Ocala,FL,6'1'',196,,,Florida International,NR,,,2013,Florida International,,,,,
Wilkenson Myrutil,CB,Orlando,FL,5'11'',172,,,Florida International,,,,2013,Florida International,,,,,
Jonathon Pavlov,TE-Y,North Palm Beach,FL,6'4'',205,,,Florida International,,,,2013,Florida International,,,,,
Jordan Guest,OLB,Miami,FL,6'3'',172,,,Florida International,,,,2013,Florida International,,,,,
Alfonso Randolph Jr.,RB,Ocala,FL,5'10'',179,,,Florida International,,,,2013,Florida International,,,,,
Silas Spearman,RB,Loxahatchee,FL,5'9'',190,,,Florida International,NR,NR,NR,2013,Florida International,,,,,
James Cruise,OT,Palm Beach Gardens,FL,6'4'',260,,,Florida International,,,,2013,Florida International,,,,,
Jeremy Derrick,OLB,Hallandale Beach,FL,6'1'',175,,,Florida International,,,,2013,Florida International,,,,,
Shug Oyegunle,WR,Tampa,FL,5'9'',175,,,Florida International,,,,2013,Florida International,,,,,
Akheem Barton,S,Miami,FL,6'2'',229,,,Florida International,,,,2013,Florida International,,,,,
"AJ Lewis,S,Miami,FL,6'1'',206,75,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Fermin Silva,D,Miami,FL,6'2'',213,74,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Christian Alexander,QB-DT,Lakeland,FL,6'3'',214,74,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Deion Eakins,OG,Jacksonville,FL,6'3'',307,74,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Stone Wilson,K,Venice,FL,5'10'',175,73,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Austin Maloney,WR,Miami,FL,5'11'',176,73,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Jestin Green,CB,Saint Petersburg,FL,6'1'',162,71,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Olin Cushion,CB,Miami,FL,5'8'',153,70,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Terry Bennett,RB,Jacksonville,FL,6'0'',200,69,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Maurice Alexander,QB-DT,Miami,FL,5'11'',160,68,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Mark Hutchinson,WR,Wesley Chapel,FL,6'1'',200,67,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Kenyatta Anderson,CB,Saint Petersburg,FL,6'0'',170,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Milord Juste,DE,Palm Beach Gardens,FL,6'0'',242,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Collin Olsen,FB,Port Orange,FL,6'1'',229,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Anthony Jones,WR,Miami,FL,5'11'',190,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"RJ Harris,DT,Tallahassee,FL,6'2'',260,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Irick McDonald,OLB,Miami,FL,6'2'',199,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Mac Carey,TE-Y,Tallahassee,FL,6'2'',235,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Andrew Burgess,OT,Neptune Beach,FL,6'5'',305,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Tyree Johnson,CB,Miami,FL,5'9'',165,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Raymond Gage,WR,Homestead,FL,5'10'',175,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Neal Mars,OC,Orange Park,FL,6'2'',270,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Emmanuel Lubin,CB,Miami,FL,6'0'',170,NR,Florida International  ",,,,,,,,,,,,2015,Florida International,,,,,
"Julian Williams,WR (JC),Milledgeville,GA,5'11'',190,NR,Florida International",,,,,,,,,,,,2015,Florida International,,,,,
Brian Dillard,RB,Ocala,FL,6'1'',190,78.0,Florida International  ,,45,318,103,2019,Florida International,,,,,
Lexington Joseph,RB,Miami,FL,5'7'',170,77.0,Florida International  ,,59,400,132,2019,Florida International,,,,,
Joseph Hocker,TE,Cincinnati,OH,6'4'',242,76.0,Florida International  ,,27,,,2019,Florida International,,,,,
Kris Mitchell,WR,Jacksonville,FL,6'0'',170,76.0,Florida International  ,,127,464,154,2019,Florida International,,,,,
Nate Jefferson,WR,Longwood,FL,5'8'',155,74.0,Florida International  ,,171,,,2019,Florida International,,,,,
Kendre Gant,OLB,Port Saint Joe,FL,6'2'',200,74.0,Florida International  ,,120,,,2019,Florida International,,,,,
Stone Norton,QB,Nashville,TN,6'3'',189,73.0,Florida International  ,,45,707,45,2019,Florida International,,,,,
Deshaun Davis,S,Jacksonville,FL,6'0'',187,69.0,Florida International  ,,126,813,257,2019,Florida International,,,,,
Ni'Kendrick Carter,OLB,Many,LA,6'2'',215,,Florida International  ,,,,,2019,Florida International,,,,,
Logan Gunderson,OG,Jacksonville,FL,ASA College Miami,6'4'',315.0,,,,,,2019,Florida International,,,,,Florida International  
Nathan White,DE,Orlando,FL,6'4'',210,,Florida International  ,,,,,2019,Florida International,,,,,
Ty Danzy,DE,Anderson,SC,6'5'',235,,Florida International  ,,NR,,,2019,Florida International,,,,,
Julius Pierce,TE,Sanford,FL,6'4'',247,,Florida International  ,,NR,,,2019,Florida International,,,,,
Sione Finau,OG,Keller,TX,6'3'',290,,Florida International  ,,,,,2019,Florida International,,,,,
Kamareon Williams,ATH,Delray Beach,FL,6'3'',245,,Florida International  ,,NR,NR,NR,2019,Florida International,,,,,
Nasir Carter,ILB,Winter Garden,FL,6'3'',215,,Florida International  ,,,,,2019,Florida International,,,,,
Shamar Hobdy-Lee,OT,Tampa,FL,6'5'',290,,Florida International  ,,,,,2019,Florida International,,,,,
Tommy Heatherly,K,Grove,OK,Northeastern Oklahoma A&M,5'11'',200.0,,,,,,2019,Florida International,,,,,Florida International  
Alexy Jean-Baptiste,DE,Pompano Beach,FL,University of Arkansas,6'3'',245.0,,,,,,2019,Florida International,,,,,Florida International  
Josh Turner,CB,Delray Beach,FL,University of Iowa,6'0'',188.0,,,,,,2019,Florida International,,,,,Florida International  
Maleek Williams,RB,Punta Gorda,FL,University of Arkansas,5'11'',223.0,,,,,,2019,Florida International,,,,,Florida International  
Alvin Mathis,OLB,Largo,FL,6'1'',200,7,70,,63,,,2020,Florida International,325,105,Pinellas Park Senior High School,,
Eric Wilson,RB,Plant City,FL,5'10'',190,7,70,,56,,,2020,Florida International,333,108,Armwood High School,,
Kejon Owens,RB,Miami,FL,5'10'',175,7,76,,,,,2020,Florida International, None, None,Miami Central High School,,
Jamal Potts,ATH,Delray Beach,FL,6'1'',175,7,76,,69,,,2020,Florida International,406,133,American Heritage-Boca-Delray High,,
Jose Mirabal,OG,Homestead,FL,6'5'',285,7,76,,64,,,2020,Florida International,,,South Dade High School,,
Chance Coleman,OLB,Tampa,FL,6'0'',215,7,75,,,,,2020,Florida International, None, None,Gaither High School,,
