Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Bryce Carey,S,DeKalb,IL,6'1'',180,0,Northern Illinois,,,,,2022,Wisconsin,,,
Jace Arnold,CB,Marietta,GA,5'10'',170,80.0,,,40,168,29,2023,Wisconsin,,,
Nate White,RB,Milwaukee,WI,5'11'',180,80.0,,,34,,,2023,Wisconsin,,,
Trech Kekahuna,ATH,Las Vegas,NV,5'11'',180,80.0,,,31,,,2023,Wisconsin,,,
Tyler Jansey,ILB,Batavia,IL,6'1'',220,80.0,,,18,,,2023,Wisconsin,,,
Amare Snowden,CB,Roseville,MI,6'2'',190,78.0,,,55,48,10,2023,Wisconsin,,,
Braedyn Moore,ATH,Hamilton,OH,6'2'',190,78.0,,,64,,,2023,Wisconsin,,,
A.J. Tisdell,CB,College Station,TX,5'11'',185,77.0,,,74,,,2023,Wisconsin,,,
James Durand,OT,Chandler,AZ,6'5'',275,77.0,,,123,,,2023,Wisconsin,,,
Jordan Mayer,DE,Jefferson Hills,PA,6'4'',235,77.0,,,110,,,2023,Wisconsin,,,
Jamel Howard Jr.,DT,Chicago,IL,6'2'',310,76.0,,,76,,,2023,Wisconsin,,,
Cole LaCrue,QB-DT,Broomfield,CO,6'1'',190,76.0,,,21,,,2023,Wisconsin,,,
