Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University,University  , Reg_rank, State_rank,School,School  
Earl Barquet,DE,Marrero,LA,6'3'',275,,,,,,,2022,Southern California,USC,,,,,
Brenden Rice,WR,Chandler,AZ,6'2'',205,,,,,,,2022,Southern California,USC,,,,,
Mario Williams,WR,Plant City,FL,5'11'',185,,,,,,,2022,Southern California,USC,,,,,
Tyrone Taleni,DE,American Samoa,AS,6'3'',270,,,,,,,2022,Southern California,USC,,,,,
Terrell Bynum,WR,Bellflower,CA,6'1'',190,,,,,,,2022,Southern California,USC,,,,,
Bobby Haskins,OT,Princeton,NJ,6'7'',295,,,,,,,2022,Southern California,USC,,,,,
Caleb Williams,QB-DT,Washington,DC,6'1'',218,,,,,,,2022,Southern California,USC,,,,,
Shane Lee,ILB,Baltimore,MD,6'0'',245,,,,,,,2022,Southern California,USC,,,,,
Romello Height,OLB,Dublin,GA,6'4'',220,,,,,,,2022,Southern California,USC,,,,,
Travis Dye,RB,Norco,CA,5'9'',190,,,,,,,2022,Southern California,USC,,,,,
Austin Jones,RB,Oakland,CA,5'10'',200,,,,,,,2022,Southern California,USC,,,,,
Latrell McCutchin,CB,Austin,TX,6'1'',180,,,,,,,2022,Southern California,USC,,,,,
Mekhi Blackmon,CB,San Mateo,CA,6'0'',185,,,,,,,2022,Southern California,USC,,,,,
Jordan Addison,WR,Frederick,MD,6'0'',175,,,,,,,2022,Southern California,USC,,,,,
Kameryn Fountain,DE,Atlanta,GA,6'6'',240,4,84,,12,,,2024,Southern California,,,35,11,,USC  
Xavier Jordan,WR,Chatsworth,CA,6'2'',170,4,84,,15,,,2024,Southern California,,,10,9,,USC  
Walter Matthews,TE,Hiram,GA,6'7'',245,4,84,,2,,,2024,Southern California,,,46,14,,USC  
Marcelles Williams,CB,Bellflower,CA,6'0'',180,4,82,,17,,,2024,Southern California,,,22,19,,USC  
