Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University ,School
Conner Allen,ATH,Dallas,TX,5'9'',175.0,SMU,,,,,2018,Southern Methodist,,,,,
Levon Livingston,OT,Washington,DC,6'6'',280.0,SMU,,,,,2018,Southern Methodist,,,,,
Nick Dennis,OC,Corsicana,TX,6'3'',315.0,SMU,,,,,2018,Southern Methodist,,,,,
Trevor Denbow,S,Corsicana,TX,6'0'',215.0,SMU,,,,,2018,Southern Methodist,,,,,
Beau Morris,OT,Brenham,TX,6'5'',280.0,SMU,,NR,NR,NR,2018,Southern Methodist,,,,,
Robert Hayes,CB,Coffeyville,KS,6'2'',180.0,SMU,,NR,NR,NR,2018,Southern Methodist,,,,,
Preston Stone,QB-PP,Dallas,TX,6'2'',190,,SMU,121,,,2021,Southern Methodist,84,24,22,,
Je'lin Samuels,DE,Pasadena,TX,6'6'',225,,SMU,67,,,2021,Southern Methodist,80,97,77,,
Dylan Goffney,WR,Cypress,TX,6'1'',190,,SMU,33,,,2021,Southern Methodist,79,,,,
Isaiah Nwokobia,S,Dallas,TX,6'0'',180,,SMU,108,,,2021,Southern Methodist,78,,,,
Roderick Daniels,WR,Duncanville,TX,5'9'',165,,SMU,47,,,2021,Southern Methodist,77,,,,
Braylen Jackson,DT,Mansfield,TX,6'3'',255,,SMU,64,,,2021,Southern Methodist,77,172,133,,
Montaye Dawson,ATH,Fort Worth,TX,5'7'',165,,SMU,60,,,2021,Southern Methodist,77,179,136,,
Brandon Epton Jr,RB,Dallas,TX,6'0'',180,,SMU,103,,,2021,Southern Methodist,76,,,,
Stone Eby,DE,Flower Mound,TX,6'4'',240,,SMU,33,,,2021,Southern Methodist,76,230,173,,
Trevion Sneed,ILB,Mineola,TX,6'0'',210,,SMU,,,,2021,Southern Methodist,75,,,,
Jadarius Thursby,S,Duncanville,TX,5'10'',185,,SMU,103,,,2021,Southern Methodist,75,,,,
Izaiah Kelley,OLB,Lubbock,TX,6'2'',175,,SMU,138,,,2021,Southern Methodist,75,328,248,,
Bryce McMorris,CB,Cypress,TX,5'11'',165,,SMU,166,,,2021,Southern Methodist,73,,,,
Jayden Jones,DE,Dallas,TX,6'3'',220,,SMU,,,,2021,Southern Methodist,73, None, None,,
Jayleen Record,WR,Dallas,TX,5'8'',160,,SMU,28,,,2021,Southern Methodist,73,347,263,,
Brendan Hall,K,Springtown,TX,6'7'',215,,SMU,178,,,2021,Southern Methodist,73,443,335,,
Mason Jolley,OLB,Prosper,TX,6'2'',210,,SMU,,,,2021,Southern Methodist,71, None, None,,
Grant Calcaterra,TE-H,Rancho Santa Margarita,CA,6'4'',235,TR,SMU,,,,2021,Southern Methodist,0, None, None,,
Nolan Matthews,TE-H,Frisco,TX,6'4'',245,TR,SMU,,,,2021,Southern Methodist,0, None, None,,
Jordan Kerley,WR,Austin,TX,6'0'',190,TR,SMU,,,,2021,Southern Methodist,0, None, None,,
Blake Mazza,K,Plano,TX,5'10'',180,TR,SMU,,,,2021,Southern Methodist,0,,,,
Tre Siggers,RB,Duncanville,TX,5'8'',190,TR,SMU,,,,2021,Southern Methodist,0,,,,
Simon Gonzalez,TE-H,Magnolia,TX,6'3'',225,TR,SMU,,,,2021,Southern Methodist,0, None, None,,
Tanner Mordecai,QB-PP,Waco,TX,6'3'',220,TR,SMU,,,,2021,Southern Methodist,0,,,,
John Seter,QB-PP,Salisbury,CT,6'3'',185,TR,SMU,,,,2021,Southern Methodist,0,,,,
Thalen Robinson,OT,Arlington,TX,6'5'',315,TR,SMU,,,,2021,Southern Methodist,0,,,,
Jaxson Lavender,WR,Lucas,TX,5'9'',165,SMU,,139,79,104,2023,Southern Methodist,78,,,,
Alex Kilgore,OLB,Katy,TX,Patricia E. Paetow High School,6'1'',78,SMU,49,,,2023,Southern Methodist,215,,,,
Adam Moore,TE,Miami,FL,Miami Northwestern High School,6'2'',78,SMU,24,315,116,2023,Southern Methodist,210,,,,
Daemian Wimberly,DT,Leander,TX,Vandegrift High School,6'3'',77,SMU,62,217,157,2023,Southern Methodist,245,,,,
Tripp Riordan,TE,Frisco,TX,Wakeland High School,6'4'',77,SMU,18,,,2023,Southern Methodist,240,,,,
Keldric Luster,QB,McKinney,TX,McKinney High School,5'10'',77,SMU,17,,,2023,Southern Methodist,230,,,,
Braeden Flowers,DE,San Antonio,TX,Central Catholic High School,6'2'',76,SMU,128,,,2023,Southern Methodist,240,,,,
Lamodrick Spencer,S,Duncanville,TX,Duncanville High School,6'1'',76,SMU,,,None ,2023,Southern Methodist,165,,,,
Randy Reece Jr.,WR,Dallas,TX,South Oak Cliff High,5'10'',76,SMU,165,272,197,2023,Southern Methodist,175,,,,
Alex Woods,OT,Port Saint Lucie,FL,Treasure Coast High School,6'4'',76,SMU,102,,,2023,Southern Methodist,275,,,,
Lonnie Johnson,WR,Fort Worth,TX,Timber Creek High School,6'3'',75,SMU,182,285,207,2023,Southern Methodist,205,,,,
Jamarion Carroll,WR,Witchita Falls,TX,Hirschi High School,6'1'',75,SMU,185,292,212,2023,Southern Methodist,185,,,,
Kevin Allen,DT,Everman,TX,Everman High School,6'3'',75,SMU,305,87,223,2023,Southern Methodist,275,,,,
Abdul Muhammad,CB,Dallas,TX,South Oak Cliff High,5'10'',74,SMU,137,,,2023,Southern Methodist,190,,,,
Reagan Gill,OG,Houston,TX,Jersey Village High,6'4'',74,SMU,329,,,2023,Southern Methodist,315,,,,
Brandon Miyazono,ILB,Frisco,TX,Frisco High School,6'1'',73,SMU,62,360,263,2023,Southern Methodist,210,,,,
Sean Scott,OT,Valencia,CA,West Ranch High School,6'6'',73,SMU,136,,,2023,Southern Methodist,265,,,,
Ahmad Walker,ILB,Warner Robins,GA,Liberty University,6'0'',,SMU,,,,2023,Southern Methodist,225,,,,
Hyrin White,OG,DeSoto,TX,University of Missouri,6'7'',,SMU,,,,2023,Southern Methodist,333,,,,
Key'Shawn Smith,WR,San Diego,CA,University of Miami-FL,6'1'',,SMU,,,,2023,Southern Methodist,182,,,,
Jordan Miller,DT,Jacksonville,FL,University of Miami-FL,6'4'',,SMU,,,,2023,Southern Methodist,320,,,,
Elijah Roberts,DE,Miami,FL,University of Miami-FL,6'4'',,SMU,,,,2023,Southern Methodist,275,,,,
