Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School,University 
D.J. Ivey,CB,Homestead,FL,6'1'',171,79,South Dade High School,,49,259,98,2018,Miami (FL),,,,
Bubba Baxa,K,Pasadena,TX,5'11'',195,77,Pasadena Memorial High School,,4,162,128,2018,Miami (FL),,,,
Nigel Bethel,ATH,Miami,FL,5'11'',165,76,Miami Northwestern High School,,76,426,155,2018,Miami (FL),,,,
Jordan Miller,DT,Jacksonville,FL,6'3'',330,75,Sandalwood High School,,, None, None,2018,Miami (FL),,,,
Realus George,FB,Atlanta,GA,6'0'',230,73,Pace Academy,,2,,,2018,Miami (FL),,,,
OT,Orange Park,FL,6'5'',330,85,,University of Miami,,,,,2020,Miami (FL),,,,
S,DeLand,FL,5'11'',170,85,,University of Miami,,,,,2020,Miami (FL),,,,
DE,Orange Park,FL,6'4'',220,84,,University of Miami,,,,,2020,Miami (FL),,,,
RB,Miami,FL,5'11'',200,84,,University of Miami,,,,,2020,Miami (FL),,,,
RB,Deerfield Beach,FL,5'9'',185,84,,University of Miami,,,,,2020,Miami (FL),,,,
WR,Bradenton,FL,6'1'',190,82,,University of Miami,,,,,2020,Miami (FL),,,,
WR,Trussville,AL,6'0'',169,80,,University of Miami,,,,,2020,Miami (FL),,,,
DE,Miami,FL,6'4'',270,80,,University of Miami,,,,,2020,Miami (FL),,,,
TE-H,Naples,FL,6'4'',230,80,,University of Miami,,,,,2020,Miami (FL),,,,
CB,Miami,FL,6'2'',175,80,,University of Miami,,,,,2020,Miami (FL),,,,
ATH,Tucker,GA,6'2'',167,80,,University of Miami,,,,,2020,Miami (FL),,,,
OLB,Camden,NJ,6'1'',205,78,,University of Miami,,,,,2020,Miami (FL),,,,
OLB,Houston,TX,5'10'',210,78,,University of Miami,,,,,2020,Miami (FL),,,,
DE,Charlotte,NC,6'3'',230,78,,University of Miami,,,,,2020,Miami (FL),,,,
S,Homestead,FL,6'2'',180,76,,University of Miami,,,,,2020,Miami (FL),,,,
