Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University  , Reg_rank, State_rank,University,School
Tray Bishop,ATH,Dawson,GA,6'3'',190,84,Georgia,,8,47,12,2017,Georgia,,,,,
Malik Herring,DE,Forsyth,GA,6'4'',265,84,Georgia,,15,,,2017,Georgia,,,,,
Jeremiah Holloman,WR,Covington,GA,6'2'',192,83,Georgia,,132,,,2017,Georgia,,,,,
Jake Fromm,QB-PP,Warner Robins,GA,6'3'',224,83,Georgia,,10,68,18,2017,Georgia,,,,,
Netori Johnson,OG,Ellenwood,GA,6'4'',348,83,Georgia,,11,,,2017,Georgia,,,,,
Jaden Hunter,OLB,Atlanta,GA,6'2'',212,82,Georgia,,25,21,6,2017,Georgia,,,,,
D'Marcus Hayes,OT (JC),Madison,MS,6'5'',325,82,Georgia,,5,,,2017,Georgia,,,,,
Mark Webb,WR,Warminster,PA,6'2'',197,82,Georgia,,10,125,33,2017,Georgia,,,,,
Walter Grant,ILB,Cairo,GA,6'4'',240,82,Georgia,,11,,,2017,Georgia,,,,,
D'Antne Demery,OT,Brunswick,GA,6'6'',319,82,Georgia,,20,,,2017,Georgia,,,,,
Nate McBride,ILB,Vidalia,GA,6'2'',225,80,Georgia,,71,,,2017,Georgia,,,,,
Monty Rice,ILB,Madison,AL,6'1'',228,80,Georgia,,29,,,2017,Georgia,,,,,
Ameer Speed,S,Jacksonville,FL,6'4'',194,80,Georgia,,240,,,2017,Georgia,,,,,
Trey Blount,WR,Atlanta,GA,6'2'',196,80,Georgia,,42,254,90,2017,Georgia,,,,,
Justin Shaffer,OG,Ellenwood,GA,6'5'',356,79,Georgia,,49,,,2017,Georgia,,,,,
Matthew Landers,WR,Saint Petersburg,FL,6'5'',175,79,Georgia,,73,,,2017,Georgia,,,,,
Latavious Brini,CB,Hialeah Gardens,FL,6'2'',184,79,Georgia,,,,,2017,Georgia,,,,,
Devonte Wyatt,DT,Decatur,GA,6'4'',265,78,Georgia,,,,,2017,Georgia,,,,,
Eric Stokes,RB,Covington,GA,6'1'',172,76,Georgia,,,,,2017,Georgia,,,,,
Justin Fields,QB,Kennesaw,GA,6'3'',221,94,Georgia,,1,,,2018,Georgia,,1,1,,
Tyson Campbell,CB,Plantation,FL,6'3'',181,91,Georgia,,9,,,2018,Georgia,,6,3,,
Brenton Cox,DE,Stockbridge,GA,6'5'',250,90,Georgia,,5,,,2018,Georgia,,8,3,,
Zamir White,RB,Laurinburg,NC,6'0'',205,89,Georgia,,1,,,2018,Georgia,,11,2,,
Trey Hill,OG,Warner Robins,GA,6'5'',346,87,Georgia,,1,,,2018,Georgia,,,,,
Jamaree Salyer,OG,Atlanta,GA,6'4'',342,87,Georgia,,2,,,2018,Georgia,,14,5,,
Cade Mays,OT,Knoxville,TN,6'6'',327,87,Georgia,,3,,,2018,Georgia,,,,,
Kearis Jackson,WR,Fort Valley,GA,6'1'',203,86,Georgia,,4,,,2018,Georgia,,,,,
James Cook,RB,Miami,FL,6'0'',182,85,Georgia,,3,,,2018,Georgia,,,,,
Adam Anderson,DE,Rome,GA,6'4'',214,85,Georgia,,56th,,,2018,Georgia,,,,,
Luke Ford,TE,Y,Carterville,IL,6'6'',245,85,,3,,,2018,Georgia,,5,1,Georgia,
Tommy Bush,WR,Schertz,TX,6'4'',189,85,Georgia,,,,,2018,Georgia,,,,,
Quay Walker,OLB,Cordele,GA,6'3'',220,85,Georgia,,2,,,2018,Georgia,,38,10,,
Divaad Wilson,CB,Miami,FL,6'0'',180,82,Georgia,,26,,,2018,Georgia,,,,,
Nadab Joseph,S,Miami,FL,6'2'',180,82,Georgia,,15,,,2018,Georgia,,,,,
Channing Tindall,OLB,Columbia,SC,6'3'',213,82,Georgia,,11,,,2018,Georgia,,,,,
Devonte Wyatt,DT,Decatur,GA,6'3'',290,82,Georgia,,10th,,,2018,Georgia,, NR, NR,,
Otis Reese,OLB,Leesburg,GA,6'4'',206,82,Georgia,,12,,,2018,Georgia,,111,26,,
Warren Ericson,OG,Suwanee,GA,6'4'',317,82,Georgia,,12,,,2018,Georgia,,112,27,,
Azeez Ojulari,OLB,Marietta,GA,6'3'',222,81,Georgia,,13,,,2018,Georgia,,117,31,,
Jordan Davis,DT,Charlotte,NC,6'5'',305,80,Georgia,,33,,,2018,Georgia,,184,14,,
John FitzPatrick,TE-Y,Atlanta,GA,6'8'',225,79,Georgia,,11,,,2018,Georgia,,222,51,,
Christopher Smith II,CB,Atlanta,GA,5'11'',169,79,Georgia,,56,,,2018,Georgia,,236,47,,
Owen Condon,OT,Oklahoma City,OK,6'7'',300,79,Georgia,,45,,,2018,Georgia,,,,,
Tramel Walthour,DT,Hinesville,GA,6'3'',275,78,Georgia,,54,,,2018,Georgia,,287,67,,
Jake Camarda,K,Norcross,GA,6'1'',180,78,Georgia,,1,,,2018,Georgia,,339,77,,
Nolan Smith,DE,Bradenton,FL,6'3'',234,,92,,2,,,2019,Georgia,,1,1,Georgia,
Clay Webb,OC,Oxford,AL,6'4'',307,,90,,1,,,2019,Georgia,,8,2,Georgia,
Nakobe Dean,OLB,Horn Lake,MS,6'0'',216,,86,,24,,,2019,Georgia,,14,2,Georgia,
Lewis Cine,S,Cedar Hill,TX,6'2'',181,,86,,35th,,,2019,Georgia,,,,Georgia,
Dominick Blaylock,WR,Marietta,GA,6'1'',187,,86,,4,,,2019,Georgia,,,,Georgia,
Travon Walker,DE,Thomaston,GA,6'5'',263,,85,,46,,,2019,Georgia,,,,Georgia,
George Pickens,WR,Birmingham,AL,6'4'',190,,85,,54,,,2019,Georgia,,29,5,Georgia,
Trezman Marshall,ILB,Homerville,GA,6'1'',220,,84,,2,,,2019,Georgia,,37,11,Georgia,
Tyrique Stevenson,CB,Miami,FL,6'1'',188,,84,,9,,,2019,Georgia,,45,12,Georgia,
